sample7_PS_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
11:04:11
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1683.162
586.124	1645.550
586.252	1639.400
586.380	1626.775
586.508	1633.250
586.637	1643.562
586.765	1637.487
586.893	1638.338
587.021	1650.388
587.149	1648.750
587.277	1654.025
587.405	1661.425
587.533	1643.800
587.662	1675.100
587.790	1681.725
587.918	1669.487
588.046	1679.138
588.174	1674.362
588.302	1689.450
588.430	1679.875
588.558	1668.812
588.687	1684.050
588.815	1704.562
588.943	1697.662
589.071	1691.187
589.199	1701.350
589.327	1679.750
589.455	1676.200
589.583	1679.237
589.712	1696.025
589.840	1694.500
589.968	1684.775
590.096	1699.437
590.224	1697.838
590.352	1696.263
590.480	1692.862
590.608	1702.687
590.737	1694.075
590.865	1707.388
590.993	1700.838
591.121	1704.625
591.249	1713.450
591.377	1700.987
591.505	1694.175
591.633	1691.750
591.762	1718.263
591.890	1715.787
592.018	1715.025
592.146	1719.325
592.274	1732.162
592.402	1722.362
592.530	1720.662
592.658	1724.175
592.787	1735.725
592.915	1726.125
593.043	1734.937
593.171	1720.588
593.299	1751.013
593.427	1746.213
593.555	1738.750
593.683	1744.225
593.812	1743.263
593.940	1771.800
594.068	1770.037
594.196	1782.575
594.324	1748.437
594.452	1790.987
594.580	1801.388
594.708	1791.487
594.837	1803.588
594.965	1809.412
595.093	1803.013
595.221	1799.062
595.349	1822.112
595.477	1822.562
595.605	1817.888
595.733	1869.237
595.862	1853.175
595.990	1837.125
596.118	1856.650
596.246	1864.050
596.374	1882.162
596.502	1889.175
596.630	1885.475
596.758	1885.825
596.887	1894.900
597.015	1912.612
597.143	1868.950
597.271	1892.225
597.399	1923.750
597.527	1933.862
597.655	1908.588
597.783	1923.763
597.912	1915.500
598.040	1916.475
598.168	1918.375
598.296	1923.700
598.424	1909.900
598.552	1917.812
598.680	1920.312
598.808	1915.000
598.937	1941.963
599.065	1937.487
599.193	1916.150
599.321	1894.888
599.449	1935.750
599.577	1927.850
599.705	1915.475
599.833	1917.125
599.962	1907.812
600.090	1929.375
600.218	1927.662
600.346	1937.713
600.474	1950.950
600.602	1951.250
600.730	1945.700
600.858	1948.763
600.987	1947.150
601.115	1943.537
601.243	1952.050
601.371	1974.275
601.499	1967.100
601.627	1979.350
601.755	1996.263
601.883	1990.062
602.012	1991.750
602.140	1986.725
602.268	2013.987
602.396	2023.700
602.524	2005.550
602.652	2013.312
602.780	2017.588
602.908	2040.350
603.037	2051.150
603.165	2067.738
603.293	2082.662
603.421	2082.125
603.549	2069.550
603.677	2102.150
603.805	2089.162
603.933	2121.037
604.062	2109.775
604.190	2146.350
604.318	2139.062
604.446	2169.025
604.574	2162.900
604.702	2173.775
604.830	2171.863
604.958	2211.912
605.087	2216.675
605.215	2218.250
605.343	2224.125
605.471	2236.988
605.599	2267.338
605.727	2260.412
605.855	2269.300
605.983	2267.738
606.112	2292.175
606.240	2308.600
606.368	2323.437
606.496	2341.562
606.624	2301.200
606.752	2330.150
606.880	2353.537
607.008	2390.787
607.137	2379.162
607.265	2351.062
607.393	2377.150
607.521	2392.150
607.649	2349.963
607.777	2369.500
607.905	2367.312
608.033	2380.550
608.162	2383.762
608.290	2397.863
608.418	2417.700
608.546	2398.412
608.674	2432.537
608.802	2406.562
608.930	2423.575
609.058	2406.625
609.187	2420.725
609.315	2431.025
609.443	2425.238
609.571	2439.425
609.699	2418.525
609.827	2428.512
609.955	2452.375
610.083	2428.437
610.212	2436.662
610.340	2451.363
610.468	2454.700
610.596	2467.113
610.724	2464.875
610.852	2462.300
610.980	2452.575
611.108	2476.025
611.237	2470.988
611.365	2468.187
611.493	2467.575
611.621	2502.225
611.749	2493.525
611.877	2511.588
612.005	2514.012
612.133	2503.463
612.262	2498.975
612.390	2520.600
612.518	2521.912
612.646	2556.150
612.774	2537.050
612.902	2518.312
613.030	2552.250
613.158	2597.475
613.287	2570.787
613.415	2574.312
613.543	2574.387
613.671	2574.562
613.799	2604.600
613.927	2591.100
614.055	2603.613
614.183	2681.850
614.312	2601.562
614.440	2678.512
614.568	2639.488
614.696	2645.387
614.824	2753.637
614.952	2672.537
615.080	2643.012
615.208	2696.412
615.337	2677.425
615.465	2683.275
615.593	2713.475
615.721	2765.825
615.849	2736.613
615.977	2752.125
616.105	2790.412
616.233	2747.488
616.362	2835.800
616.490	2758.887
616.618	2771.125
616.746	2817.925
616.874	2876.500
617.002	2814.312
617.130	2872.863
617.258	2983.262
617.387	2859.250
617.515	2823.012
617.643	2879.037
617.771	2914.550
617.899	2925.238
618.027	2853.412
618.155	3004.275
618.283	2891.550
618.412	2927.975
618.540	3015.463
618.668	2970.887
618.796	2958.900
618.924	3082.325
619.052	2958.613
619.180	2938.863
619.308	2998.225
619.437	2992.338
619.565	2990.787
619.693	2967.137
619.821	3012.425
619.949	2997.900
620.077	3068.062
620.205	3074.425
620.333	3057.162
620.462	3091.588
620.590	3132.875
620.718	3053.088
620.846	3198.387
620.974	3168.437
621.102	3092.537
621.230	3073.312
621.358	3206.213
621.487	3091.387
621.615	3110.350
621.743	3126.875
621.871	3121.200
621.999	3215.300
622.127	3150.775
622.255	3168.775
622.383	3155.550
622.512	3162.050
622.640	3326.713
622.768	3118.762
622.896	3166.625
623.024	3161.650
623.152	3274.488
623.280	3243.863
623.408	3161.162
623.537	3209.562
623.665	3177.713
623.793	3226.850
623.921	3197.912
624.049	3186.900
624.177	3189.812
624.305	3251.025
624.433	3245.900
624.562	3235.687
624.690	3262.838
624.818	3302.900
624.946	3441.062
625.074	3271.838
625.202	3232.075
625.330	3240.450
625.458	3316.588
625.587	3267.137
625.715	3358.012
625.843	3421.200
625.971	3296.187
626.099	3284.838
626.227	3288.150
626.355	3261.000
626.483	3411.050
626.612	3292.950
626.740	3268.250
626.868	3376.437
626.996	3307.713
627.124	3322.437
627.252	3303.800
627.380	3360.900
627.508	3330.937
627.637	3320.213
627.765	3374.250
627.893	3371.187
628.021	3362.575
628.149	3407.012
628.277	3408.537
628.405	3463.738
628.533	3355.662
628.662	3444.437
628.790	3407.225
628.918	3408.050
629.046	3425.975
629.174	3441.238
629.302	3543.125
629.430	3417.525
629.558	3465.312
629.687	3485.488
629.815	3463.562
629.943	3520.238
630.071	3524.150
630.199	3525.350
630.327	3541.562
630.455	3505.950
630.583	3637.875
630.712	3572.775
630.840	3577.512
630.968	3614.950
631.096	3550.937
631.224	3566.600
631.352	3599.375
631.480	3638.850
631.608	3618.700
631.737	3705.250
631.865	3811.963
631.993	3621.213
632.121	3752.250
632.249	3763.588
632.377	3726.963
632.505	3720.275
632.633	3641.375
632.762	3741.400
632.890	3813.338
633.018	3689.863
633.146	3759.600
633.274	3765.925
633.402	3742.900
633.530	3714.088
633.658	3900.812
633.787	3720.338
633.915	3843.463
634.043	3749.250
634.171	3753.575
634.299	3816.637
634.427	3891.125
634.555	3832.512
634.683	3785.275
634.812	3796.713
634.940	3792.250
635.068	3743.463
635.196	3789.275
635.324	3782.312
635.452	3883.912
635.580	3793.937
635.708	3778.238
635.837	3830.512
635.965	3801.800
636.093	3810.950
636.221	3782.675
636.349	3885.588
636.477	3747.650
636.605	3943.988
636.733	3733.850
636.862	3757.875
636.990	3802.537
637.118	3850.787
637.246	3815.963
637.374	3788.950
637.502	3781.437
637.630	3723.137
637.758	3790.275
637.887	3734.375
638.015	3748.900
638.143	3742.250
638.271	3761.700
638.399	3736.312
638.527	3712.262
638.655	3696.325
638.783	3873.537
638.912	3759.088
639.040	3753.325
639.168	3775.887
639.296	3721.200
639.424	3846.750
639.552	3708.437
639.680	3739.088
639.808	3760.600
639.937	3680.200
640.065	3692.363
640.193	3790.875
640.321	3684.625
640.449	3752.650
640.577	3802.300
640.705	3732.075
640.833	3831.650
640.962	3681.062
641.090	3685.075
641.218	3656.762
641.346	3707.912
641.474	3730.713
641.602	3675.488
641.730	3694.200
641.858	3685.613
641.987	3713.912
642.115	3679.937
642.243	3737.537
