name,angle,error
Lgamma3,16.4,0.1
Lgamma2, 16.55,0.15
Lgamma1, 17.1,0.7
Lbeta2,19.82,0.1
Lbeta3, 20.2,0.15
Lbeta1, 20.6,0.1
Lbeta4, 20.95,0.17

