Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD]
960;7.408194;7.479673;7.478095;7.379492
970;7.292001;7.553241;7.110625;7.096634
980;7.163560;7.423947;7.459252;7.221624
990;7.049468;6.865903;7.116045;7.177715
1000;7.201203;6.971191;7.263901;7.435778
1010;6.870942;7.077034;6.955039;6.866188
1020;6.870385;6.881901;7.181139;7.080942
1030;6.695531;6.446985;6.664692;6.885490
1040;6.365904;6.390165;6.774689;6.892319
1050;6.617722;6.553198;6.336854;6.722708
1060;6.649977;6.459496;6.421722;6.803776
1070;6.554162;6.800541;6.890433;6.709538
1080;6.448505;6.691455;6.447009;6.322585
1090;6.273215;6.171481;6.485837;6.392971
1100;6.037314;6.328345;6.764319;6.450729
1110;6.361205;6.050747;6.623255;6.852765
1120;6.980039;6.295824;6.155436;6.011138
1130;6.329233;5.898378;6.170171;6.558127
1140;5.878929;6.161640;6.264294;6.232814
1150;5.931430;6.133965;6.274428;6.103241
1160;6.585820;5.979312;5.903290;5.632067
1170;5.738763;5.999594;6.147194;5.737752
1180;6.285415;5.484983;5.526125;6.027492
1190;5.430755;5.746837;5.925840;6.079814
1200;5.974890;5.863973;5.633695;5.443042
1210;5.545717;5.703603;6.215310;6.003103
1220;6.101198;5.946407;5.323692;5.821910
1230;5.380594;5.490139;5.708544;5.586769
1240;5.758138;5.372388;5.713718;5.406649
1250;5.238375;5.603038;5.763154;5.306508
1260;5.542032;5.757830;5.291130;5.558607
1270;5.260352;5.512992;5.132355;5.168613
1280;5.540739;5.739110;4.933404;5.703119
1290;5.562006;4.879228;5.275978;4.980567
1300;5.010635;5.143899;5.404911;5.413003
1310;5.187511;5.049584;5.113631;5.266900
1320;5.385761;5.145334;4.962530;4.900798
1330;5.225866;4.967278;4.915752;5.180671
1340;5.266507;4.693006;5.077634;4.767734
1350;5.232745;4.983070;4.984387;5.075566
1360;4.847241;4.931474;4.253114;4.681972
1370;4.913755;4.805643;4.820975;4.915099
1380;4.891503;4.614215;5.092540;5.023517
1390;4.834962;4.905034;5.023872;4.951204
1400;4.584635;4.968617;4.920655;4.675858
1410;4.345330;4.674712;4.545796;4.821999
1420;4.431991;4.578974;4.362021;4.653362
1430;4.758706;4.507016;4.576133;4.398434
1440;4.641090;4.523807;4.344003;4.571746
1450;4.229130;4.268529;4.619012;4.266232
1460;4.456043;4.576189;4.366785;4.601747
1470;4.505414;4.088515;4.492003;4.550561
1480;4.028939;4.764880;4.320661;4.213625
1490;4.317762;4.215383;4.352229;4.255570
1500;4.205282;4.310376;4.714183;4.296902
1510;3.963365;4.576225;4.325653;4.273467
1520;3.664543;4.370887;4.449001;4.412543
1530;4.178062;4.451438;3.724321;4.627001
1540;3.937598;3.972086;4.247235;3.814768
1550;4.401295;4.250416;4.226350;4.013935
1560;3.612346;3.952231;4.761679;3.961582
1570;3.809073;4.102978;3.894254;3.985639
1580;3.833323;4.003601;4.174848;4.238026
1590;3.825940;3.887689;4.079158;3.868973
1600;3.912664;3.943306;3.966430;3.985733
1610;3.609145;4.145184;3.850426;4.131222
1620;3.678199;3.872691;3.732486;3.635142
1630;3.749496;3.515449;3.869815;3.987510
1640;3.848800;3.601347;4.004629;3.953096
1650;4.221568;4.023311;3.516902;3.740050
1660;3.148892;3.888302;3.719538;3.655505
1670;3.967504;3.726220;3.746896;3.467800
1680;3.906646;3.729560;3.897669;3.636612
1690;3.762355;3.553858;3.472386;3.747400
1700;3.456415;3.877549;3.903430;3.682173
1710;3.521756;3.554263;3.339891;3.599160
1720;3.695074;3.665492;3.205343;3.646380
1730;3.361117;3.346217;3.690995;3.418764
1740;3.158652;3.389975;3.493440;3.578025
1750;3.592102;3.812480;3.722531;3.574892
1760;3.718151;3.485765;3.742707;3.638648
1770;3.207569;3.331618;3.434701;3.458876
1780;3.399599;2.897500;3.639206;3.569078
1790;3.183301;3.064838;3.614807;3.583141
1800;3.549466;3.439256;3.390179;3.358749
1810;2.961238;3.594512;2.950875;3.202160
1820;3.148582;3.256484;3.018695;3.459334
1830;3.441510;3.308764;3.548937;3.077478
1840;3.535215;3.216516;3.092517;3.639963
1850;3.579470;2.991077;3.161740;3.223537
1860;3.683716;3.038988;3.292748;3.250955
1870;3.520785;3.099620;3.447378;3.296478
1880;3.094725;2.968083;3.260814;2.850729
1890;2.823259;2.961117;3.266039;3.171275
1900;2.844076;3.431750;3.167032;2.902318
1910;3.252458;2.726677;3.397008;2.949589
1920;2.921311;2.996414;3.157691;2.835259
1930;3.108479;3.088254;3.053969;2.887040
1940;2.881680;2.784437;3.125732;2.874415
1950;2.769313;2.819789;2.837117;3.338249
1960;3.383355;2.524999;3.070213;3.566675
1970;2.956650;3.265167;3.062745;3.180173
1980;2.650464;3.088637;3.061536;2.880645
1990;2.685962;2.842585;2.962001;3.130159
2000;2.901769;2.920743;3.155612;3.163347
2010;3.021798;2.918557;2.802619;2.995754
2020;2.569662;2.789281;2.808337;2.873634
2030;2.848535;3.003077;2.729812;2.573813
2040;2.564111;3.078182;2.893830;2.439626
2050;2.935229;2.742654;2.923716;2.916536
2060;2.827241;2.789931;3.359453;2.786769
2070;2.432250;3.117074;2.846399;2.966392
2080;2.732292;2.464403;2.378134;2.634751
2090;2.458705;2.579573;2.622411;2.781740
2100;2.659842;2.423604;2.427826;2.680679
2110;2.754747;2.913871;2.689592;2.791855
2120;2.410352;2.701538;2.591948;2.728452
2130;2.415970;2.608459;2.556031;2.757615
2140;2.442503;2.579798;2.729549;2.555437
2150;2.484438;2.846184;2.398380;2.601206
2160;2.585365;2.682444;2.585854;2.704960
2170;2.765909;2.592597;2.383323;2.177518
2180;2.103210;2.642402;2.708369;2.472326
2190;2.356427;2.306127;2.668345;2.206758
2200;2.633398;2.609703;2.760070;2.914605
2210;2.974563;2.650642;3.066393;2.170234
2220;2.540394;2.731667;2.679297;2.563189
2230;2.030564;2.764944;1.991477;2.411737
2240;2.405494;2.797205;2.068734;2.427434
2250;2.581398;2.143819;2.486698;2.501458
2260;2.330165;2.284424;2.337293;2.430811
2270;2.432953;2.108532;2.236216;2.347482
2280;2.523173;2.377498;2.866724;2.310001
2290;2.337681;1.966995;2.558974;2.553069
2300;2.501900;2.285397;2.607194;2.862774
2310;2.351970;2.359997;2.142474;2.358835
2320;2.456346;2.155791;2.307767;2.354521
2330;2.296345;2.512349;2.273417;2.373092
2340;2.418666;2.284046;2.448313;2.272083
2350;1.988158;2.329633;2.656433;2.237570
2360;2.165736;2.168397;2.182044;2.398026
2370;2.034152;2.504033;2.199582;2.283923
2380;2.474275;2.553860;2.168637;2.287316
2390;2.372735;2.622535;2.438384;2.128602
2400;2.321241;2.685253;2.719207;2.012447
2410;2.614356;2.050192;2.209552;2.275673
2420;2.028413;2.227599;2.511227;2.317173
2430;2.561071;2.412453;2.347461;1.700190
2440;2.390220;1.779101;1.600377;2.374845
2450;1.887871;2.611704;2.055880;2.317348
2460;2.023260;2.612545;2.045771;1.970083
2470;2.264955;2.046095;1.975075;2.096799
2480;2.108888;2.037733;1.950259;1.878414
2490;2.161071;2.284178;2.173170;2.029789
2500;2.159416;2.564000;2.523739;1.883768
2510;2.505392;2.245054;2.292730;2.065911
2520;2.257999;2.401550;2.140613;2.045531
2530;2.138678;1.819302;2.543008;2.493113
2540;1.876336;2.483733;1.774129;1.983796
2550;1.879113;2.018099;1.994843;2.039754
2560;1.744297;1.937021;1.922734;2.047813
2570;2.158300;2.053595;2.306096;1.909639
2580;2.114226;2.109814;2.042893;2.169198
2590;2.191624;1.867970;2.029417;2.142188
2600;1.874565;2.101158;2.019556;2.043278
2610;2.054411;2.554301;2.014361;2.236737
2620;2.341606;1.958332;1.988044;2.182200
2630;1.855103;2.387753;2.115058;2.098782
2640;2.161108;2.277762;2.089266;2.026423
2650;2.311703;1.951816;2.320926;2.187800
2660;2.193157;2.042128;2.072661;1.774068
2670;1.967558;2.070439;2.202519;1.953032
2680;1.929308;1.760850;2.427608;1.860269
2690;1.821344;1.840146;1.767071;2.000600
2700;2.309537;2.338416;1.958688;2.080675
2710;1.940050;2.485625;1.634170;2.081267
2720;2.046218;2.207490;2.023705;2.196088
2730;2.199693;1.878031;2.114111;2.125469
2740;2.115633;2.352410;1.972949;2.141303
2750;2.125030;1.972642;1.976908;2.264243
2760;2.200249;1.899052;1.951575;2.178207
2770;2.122943;1.749061;2.237707;2.046708
2780;1.847159;2.046659;2.262990;2.052848
2790;1.779186;1.824210;2.383307;1.978602
2800;2.091060;1.789844;2.174614;2.237449
2810;2.282628;2.266885;1.799165;1.746117
2820;2.221216;1.516821;2.052387;2.355857
2830;2.224403;2.047663;2.113436;1.891144
2840;1.996010;1.955735;1.756493;1.921961
2850;1.974640;2.006210;1.860093;1.983169
2860;1.508499;2.229179;1.853415;2.132050
2870;1.806226;2.454129;1.750363;1.938049
2880;1.815160;1.982481;1.945028;2.241519
2890;1.646997;2.444826;1.846244;1.777331
2900;1.791062;1.916227;2.184214;2.060033
2910;2.297546;1.915380;1.988968;1.738127
2920;2.263760;1.998260;1.570932;1.411749
2930;1.942149;1.788477;2.196258;1.736415
2940;1.811408;2.092364;1.315414;2.049403
2950;1.932333;1.529611;1.553872;1.801831
2960;1.897441;2.137784;1.984743;2.030919
2970;2.237101;2.189531;1.886634;2.077575
2980;1.899735;2.140671;1.997241;1.640061
2990;1.533202;2.128261;2.050002;1.694601
3000;1.776563;1.680193;1.559861;2.176129
3010;1.835040;1.583441;1.723360;1.765971
3020;1.925028;2.105299;1.561339;1.467554
3030;2.420509;1.909132;1.792783;1.705553
3040;1.559606;1.607345;1.912572;1.831610
3050;2.367232;1.801323;1.777063;1.969371
3060;1.467621;1.837469;1.734781;1.693869
3070;1.756840;1.431125;1.480119;1.789277
3080;1.843914;2.152117;1.927203;2.141715
3090;1.648896;1.612751;1.666387;1.606989
3100;1.718145;1.798785;1.617722;1.554651
3110;1.747903;2.101865;1.869808;2.007084
3120;2.251307;2.047875;2.220363;1.750788
3130;1.482651;2.150242;1.953627;1.524831
3140;1.813948;1.883606;2.017810;1.934684
3150;1.687333;1.985346;1.841830;1.721525
3160;2.045186;1.773399;1.527152;1.640409
3170;1.575191;1.918866;1.658974;1.263143
3180;1.601010;1.677445;1.572002;1.963786
3190;2.108751;1.601925;1.951709;1.684468
3200;2.050521;1.524215;1.768317;1.828928
3210;1.546034;2.285377;1.219276;1.740663
3220;1.691962;1.931917;1.656120;1.852220
3230;1.688538;1.163133;1.507483;1.706366
3240;1.443560;1.392714;1.749880;1.673752
3250;1.990663;1.349120;2.032025;1.725288
3260;1.668604;1.808547;1.580924;1.837582
3270;1.971503;1.745150;1.334176;1.795562
3280;1.508609;1.650185;1.451069;2.058492
3290;1.657057;1.816303;2.034912;1.712003
3300;1.855068;1.591581;1.717094;1.562973
3310;1.564626;1.566073;1.902750;1.895974
3320;1.608067;1.918959;1.793535;1.641891
3330;1.754869;2.438074;1.658461;1.921524
3340;1.620450;1.639581;1.493928;1.730185
3350;1.951684;1.688352;1.786551;1.929648
3360;1.399444;1.699427;1.820794;1.244567
3370;1.405805;1.781443;1.849149;1.708222
3380;1.808188;1.661653;1.702577;1.774468
3390;1.638134;1.670454;1.438693;1.930601
3400;1.809634;1.659482;1.686813;1.749259
3410;1.858257;1.656948;2.009733;1.694427
3420;1.561015;1.709063;1.671889;1.849444
3430;1.893216;1.983709;1.528610;1.413098
3440;1.491710;1.853512;1.740370;1.152932
3450;1.719203;1.595650;1.547182;1.623069
3460;1.584482;1.660249;1.378335;1.612511
3470;2.258355;1.846977;1.514092;1.558066
3480;1.958513;1.953367;2.073437;1.283978
3490;1.629171;1.416014;1.831597;1.702631
3500;1.472892;1.977916;1.759634;1.454073
3510;1.544019;1.186713;1.954426;1.832348
3520;1.639932;1.665936;1.567515;1.948823
3530;1.463452;1.979597;2.049923;1.343960
3540;1.733946;1.774263;1.123966;1.718186
3550;1.704933;2.134365;1.461782;1.620333
3560;1.567073;1.711613;1.907869;1.689622
3570;1.083171;1.687799;1.308225;1.464579
3580;1.525173;1.534501;1.556011;1.493137
3590;1.678561;1.242151;1.607413;1.647338
3600;1.685367;1.769658;1.157525;1.557222
3610;1.808060;1.422521;1.821733;1.528219
3620;1.569592;1.450452;2.023230;1.592883
3630;1.582439;1.384246;2.004246;1.828947
3640;1.550906;1.500679;1.636370;2.069335
3650;1.459468;1.928059;1.461102;1.736586
3660;1.587208;1.644546;1.415595;1.609107
3670;1.185810;1.719910;1.734214;1.834207
3680;1.701610;1.210875;1.975946;1.538211
3690;1.881463;1.127400;1.648281;1.731993
3700;1.787397;1.425033;1.815579;1.644038
3710;1.414522;1.536238;1.500276;1.920120
3720;1.663797;1.355489;1.634780;1.830663
3730;1.601378;1.355822;1.975902;1.628089
3740;1.545007;1.800121;1.507962;1.477665
3750;1.375353;1.371470;1.583600;1.551844
3760;1.267802;1.501388;1.665260;1.777529
3770;1.740519;1.377057;1.119237;1.371321
3780;1.238095;1.798320;1.738651;1.322415
3790;1.791714;1.505352;1.608121;1.117921
3800;1.451881;1.726442;1.543607;1.603293
3810;1.806502;1.568463;1.407072;1.363603
3820;1.861892;1.361012;1.551434;1.320057
3830;1.497657;1.264653;1.430799;2.078717
3840;1.554205;1.345955;1.637681;1.717680
3850;1.209861;1.446853;1.290560;1.367551
3860;1.769303;1.767166;2.037551;1.582776
3870;1.210295;1.598429;1.328111;1.600937
3880;1.448434;1.450000;1.839539;1.495129
3890;2.099677;1.564445;1.811619;1.501818
3900;1.550515;1.714100;1.889407;1.377440
3910;1.353496;1.690648;1.643278;1.453789
3920;1.891413;1.038402;1.464744;1.668455
3930;1.689737;1.314685;1.877787;1.510809
3940;1.813857;1.724428;1.449674;1.498228
3950;1.464305;1.518461;1.509154;1.566559
3960;1.518993;1.354515;1.481594;1.688298
3970;1.336266;1.345945;1.645208;1.498851
3980;1.661155;1.624362;1.160603;1.735708
3990;1.242368;1.957449;1.614985;1.841643
4000;1.956777;1.644634;1.793216;1.498515
4010;1.290322;1.174523;1.356561;1.411705
4020;1.689669;1.592313;1.669982;1.526955
4030;1.992980;1.377604;1.398998;1.180860
4040;1.536865;1.529081;1.558473;1.498423
4050;1.278329;1.672236;1.489413;1.578311
4060;1.501287;1.814115;1.879565;1.439564
4070;1.808436;1.601732;1.793199;1.882531
4080;1.693080;1.601718;1.528849;1.597718
4090;1.628711;1.573280;1.531060;1.740271
4100;1.188126;1.406705;1.563698;1.484757
4110;1.759094;1.521900;1.571801;1.320681
4120;1.695399;1.037141;1.227489;1.735912
4130;1.698020;1.533369;1.371590;1.740915
4140;1.868572;1.354646;1.299603;1.895382
4150;1.505357;1.431797;1.532462;1.264573
4160;1.259804;1.710961;1.639662;1.770812
4170;1.547715;1.896642;1.410785;1.722134
4180;1.381263;1.764577;1.647780;1.894656
4190;1.555005;1.170299;1.469347;1.709351
4200;1.506593;1.450052;1.357256;1.213607
4210;1.707031;1.526375;1.675769;1.794984
4220;1.715563;1.657254;1.686292;1.439439
4230;1.365726;1.665161;1.404665;1.461919
4240;1.303288;1.778791;1.644425;1.877519
4250;1.501048;1.312984;1.347322;1.405267
4260;1.631786;1.581965;1.481962;1.873309
4270;1.564992;1.574729;1.210741;1.399966
4280;1.498556;2.132333;2.046996;1.503706
4290;1.715750;1.443115;1.332408;1.889686
4300;1.598804;1.552921;1.502626;1.799165
4310;1.246896;1.720607;1.541641;1.352652
4320;1.347308;1.276271;1.797671;1.656140
4330;1.383314;1.530845;1.343772;1.585634
4340;1.359631;1.473819;1.817165;1.698486
4350;1.844689;1.419731;1.518197;1.370587
4360;1.208296;1.890551;1.658675;1.873152
4370;1.437454;1.308331;1.636102;1.471422
4380;1.652387;1.378705;1.494089;1.554639
4390;1.663004;1.814514;1.776085;1.410903
4400;1.416869;1.992901;1.246983;1.552919
4410;1.453505;1.784089;1.713757;1.435674
4420;1.599828;1.060657;1.460178;1.671954
4430;1.445653;1.619215;1.910675;1.719951
4440;1.187086;1.709448;1.566540;1.418698
4450;1.805658;1.285326;1.902010;1.183333
4460;1.723379;1.537203;1.344827;1.553655
4470;1.737328;1.482270;1.641957;1.741953
4480;1.249711;1.784657;1.442702;2.108531
4490;1.301581;1.830577;1.364182;1.014662
4500;1.457978;1.262908;1.238475;1.777085
4510;1.400159;1.419336;1.784036;1.729118
4520;1.720070;1.578934;1.322982;1.691983
4530;1.308875;1.457620;1.535145;1.309835
4540;1.809660;1.412951;1.468701;1.555406
4550;1.147343;1.339754;1.623430;1.490362
4560;1.644286;1.298022;1.170551;1.541541
4570;1.659724;1.496334;1.721841;1.715190
4580;1.665418;1.045929;1.041415;1.615415
4590;1.490654;1.346809;1.600148;1.666101
4600;1.992003;1.630944;1.103436;1.774626
4610;1.565569;1.814163;1.329464;1.340555
4620;1.515445;1.571277;1.090624;1.903605
4630;1.722766;1.632918;1.774289;1.626254
4640;1.558128;1.631433;1.436271;1.589150
4650;1.625993;1.606076;1.274959;1.454431
4660;1.603301;1.657540;1.497054;1.572087
4670;1.665816;1.746230;1.410076;1.349755
4680;1.293923;1.508555;1.382558;1.505388
4690;1.492276;1.737733;0.915431;1.342411
4700;1.723087;2.073896;1.277637;1.770632
4710;1.476139;1.507036;1.451210;0.814375
4720;1.454502;1.579192;1.378899;1.336246
4730;1.477017;1.426851;1.628485;1.357746
4740;1.745677;1.768463;1.444301;1.227729
4750;1.424910;1.980140;1.672641;1.376022
4760;1.331921;1.347545;1.794668;1.548408
4770;1.605040;0.977536;1.453271;1.871415
4780;1.555976;1.076386;1.762527;1.580262
4790;1.443240;1.804880;1.373463;1.415312
4800;1.738073;1.417219;1.384191;1.291041
4810;1.374671;1.342310;1.372666;1.539341
4820;1.603321;1.273527;1.741252;1.825700
4830;1.486991;1.439215;1.284002;1.445692
4840;1.642468;1.611002;1.741000;1.447440
4850;1.568006;1.562176;1.490586;1.218555
4860;1.426041;1.423813;1.491318;1.285422
4870;1.537724;1.744871;1.576075;1.411799
4880;1.887205;1.869174;1.553128;1.465815
4890;1.557415;1.249647;1.566896;1.390731
4900;1.175272;1.474005;1.423618;1.474293
4910;1.692520;1.527381;1.591590;1.553470
4920;1.830894;1.613285;1.476023;1.624608
4930;1.614973;1.737400;1.569062;1.309412
4940;1.524811;1.646591;1.562537;1.508830
4950;1.428565;2.058297;1.328199;1.750774
4960;1.313921;1.622445;1.182459;1.609618
4970;1.595400;1.564390;1.933584;1.327264
4980;1.491955;1.801643;1.237074;1.457040
4990;1.641985;1.329260;1.261699;1.412678
5000;1.611803;1.443076;1.467514;1.644319
