Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
1370;1.566064;1.638090;1.699042
1380;1.361895;1.738353;1.546375
1390;1.322878;1.591981;1.689389
1400;1.586398;1.489601;1.678186
1410;1.475358;1.436255;1.344561
1420;1.572890;1.442743;1.443153
1430;1.382983;1.376530;1.395849
1440;1.627542;1.235438;1.381492
1450;1.365490;1.355150;1.502147
1460;1.281305;1.386595;1.455096
1470;1.414916;1.361542;1.410417
1480;1.363059;1.243926;1.476405
1490;1.278269;1.365452;1.248344
1500;1.308399;1.119127;1.460626
1510;1.240379;0.988600;1.478195
1520;1.353506;1.022704;1.307816
1530;1.172698;1.157756;1.352627
1540;1.216923;1.068241;1.359595
1550;1.166321;1.223132;1.096107
1560;1.079006;1.265321;1.332717
1570;1.230451;1.078184;1.348432
1580;1.129356;1.236839;1.116671
1590;1.065956;1.134044;1.162582
1600;1.147611;1.180394;1.231151
1610;0.952898;1.028129;1.301981
1620;0.987284;1.292964;1.090531
1630;1.082830;0.886713;1.271454
1640;1.125555;0.967627;1.068670
1650;0.883841;1.277584;1.091525
1660;0.891048;1.008446;0.930478
1670;1.126639;1.039415;1.007976
1680;1.009584;0.759479;0.897139
1690;0.920070;1.150647;1.081420
1700;1.021703;0.838430;0.756899
1710;0.777666;0.876053;1.213584
1720;0.661569;0.954686;1.058122
1730;0.905897;0.927814;1.076200
1740;0.976645;1.058805;1.056813
1750;1.191101;0.946876;1.090555
1760;0.811085;0.812722;0.935750
1770;0.882889;0.832716;0.984102
1780;0.848085;1.128040;0.968133
1790;0.789301;0.792596;0.670753
1800;1.017746;0.974113;0.849800
1810;0.777624;0.902111;0.924991
1820;0.774887;0.713024;0.887177
1830;0.620973;0.860453;0.894245
1840;0.822668;0.928099;0.962606
1850;0.785461;0.761915;0.949449
1860;0.815295;0.784095;1.191768
1870;0.877415;0.778097;0.861999
1880;1.040601;0.772080;0.956141
1890;0.614014;0.877561;1.039049
1900;0.350288;0.894946;0.783941
1910;0.966001;0.748148;0.793348
1920;0.804673;0.803317;0.903173
1930;0.921288;0.594748;0.844415
1940;0.761604;0.897506;0.944112
1950;0.581731;0.730867;0.667701
1960;0.850835;0.808467;0.736206
1970;0.627414;0.679378;0.833212
1980;0.634263;1.033066;0.746520
1990;0.714579;0.863518;0.745566
2000;0.843969;0.737942;0.796188
2010;0.414710;0.832412;0.828506
2020;0.467427;0.483589;0.866086
2030;0.838417;0.672430;0.806718
2040;0.666037;0.528263;0.764206
2050;0.756862;0.773281;0.848752
2060;0.809110;0.381261;0.747815
2070;0.567688;0.738389;0.963794
2080;0.895116;0.441823;0.721623
2090;0.743642;0.687376;0.841444
2100;0.690079;0.701849;0.632088
2110;0.526342;0.636759;0.827891
2120;0.831732;0.697070;1.025002
2130;0.512150;0.626408;0.679901
2140;0.743552;0.892603;0.833723
2150;0.904002;0.747469;0.778490
2160;0.687058;0.631867;0.506090
2170;0.755419;0.520390;0.586892
2180;0.700593;0.647726;0.749018
2190;0.779952;0.672328;0.731898
2200;0.753644;0.743684;0.656633
2210;0.622223;0.803204;0.726088
2220;0.703179;0.639473;0.679686
2230;0.587441;0.524445;0.882959
2240;0.570297;0.506039;0.670742
2250;0.754027;0.633170;0.658809
2260;0.717338;0.353704;0.772396
2270;0.869354;0.630496;0.578978
2280;0.714538;0.791713;0.386064
2290;0.606758;0.626674;0.753350
2300;0.663097;0.633885;0.697513
2310;0.581784;0.609723;0.835772
2320;0.641094;0.769164;0.583297
2330;0.425295;0.677664;0.859324
2340;0.683119;0.669907;0.965445
2350;0.465953;0.634262;0.709141
2360;0.850418;0.678656;0.787442
2370;0.741107;0.489487;0.512656
2380;0.585494;0.543541;0.568442
2390;0.681080;0.629032;0.799203
2400;0.290245;0.874902;0.692797
2410;0.510107;0.525364;0.821635
2420;0.522553;0.602001;0.808078
2430;0.460542;0.676637;0.529255
2440;0.561554;0.604495;0.606786
2450;0.443843;0.664498;0.738582
2460;0.749500;0.692099;0.701850
2470;0.595693;0.608557;0.577486
2480;0.493956;0.690412;0.460247
2490;0.743758;0.624152;0.729991
2500;0.609721;0.542829;0.627327
2510;0.639582;0.713836;0.583934
2520;0.561897;0.751966;0.717062
2530;0.577317;0.414006;0.469781
2540;0.285711;0.698471;0.560260
2550;0.462259;0.577628;0.712049
2560;0.659284;0.501273;0.635545
2570;0.740228;0.525681;0.684596
2580;0.687155;0.490064;0.669712
2590;0.539658;0.446930;0.516656
2600;0.644203;0.800842;0.757232
2610;0.563408;0.419089;0.804324
2620;0.639565;0.466426;0.767147
2630;0.467439;0.526623;0.661249
2640;0.376562;0.647004;0.578397
2650;0.584864;0.643906;0.597286
2660;0.603538;0.658754;0.795593
2670;0.497296;0.543453;0.569381
2680;0.603112;0.808297;0.610848
2690;0.509462;0.507837;0.690781
2700;0.571702;0.590644;0.470554
2710;0.543364;0.522221;0.610082
2720;0.629337;0.673112;0.671195
2730;0.577979;0.614913;0.451923
2740;0.663679;0.610398;0.522255
2750;0.623939;0.593162;0.651115
2760;0.486836;0.526712;0.637571
2770;0.359879;0.698815;0.553340
2780;0.453419;0.411621;0.574036
