Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD]
-400;-0.209008;0.073277;0.064411;0.104782
-390;0.161336;-0.029699;-0.144848;0.021867
-380;0.147818;-0.152205;-0.076899;-0.055824
-370;0.089144;-0.159333;0.191382;-0.152171
-360;0.117662;0.079688;-0.161601;0.205214
-350;0.010303;0.291846;-0.012439;0.132529
-340;0.066178;-0.036435;-0.059963;0.115557
-330;-0.020969;-0.063483;-0.240819;-0.013381
-320;-0.459384;0.010799;-0.307990;-0.014274
-310;-0.012935;-0.296047;-0.124369;-0.083826
-300;-0.046692;0.177857;-0.236366;-0.174354
-290;-0.165160;-0.100341;0.147940;-0.091041
-280;0.004447;-0.093577;0.011548;0.281395
-270;0.047597;0.530840;0.002222;-0.039269
-260;0.035131;-0.043628;0.007562;-0.110194
-250;0.044892;0.036027;0.477145;0.268360
-240;-0.044024;0.073845;-0.060008;0.007138
-230;0.008451;0.118996;0.018665;-0.172595
-220;-0.075230;0.036019;0.036022;-0.234899
-210;-0.254032;-0.136813;0.231795;-0.259679
-200;0.055108;0.116686;0.341791;-0.093699
-190;-0.100019;-0.102307;-0.211609;0.151256
-180;-0.164413;0.012169;-0.121347;-0.350796
-170;0.067559;0.056382;-0.051065;-0.090626
-160;-0.222054;-0.086544;0.085763;0.068268
-150;-0.160565;0.068523;-0.008442;-0.242370
-140;0.041818;0.170347;-0.006672;0.021415
-130;-0.041358;-0.163626;-0.175094;-0.139577
-120;0.027592;0.181865;-0.148393;0.029003
-110;0.109382;-0.015799;0.016448;-0.033483
-100;0.089777;0.086153;-0.083079;-0.198078
-90;0.114419;-0.050102;0.002223;-0.045931
-80;-0.040929;0.067174;0.191044;0.161376
-70;0.094300;-0.023002;0.146747;0.145911
-60;0.051640;0.131769;-0.319155;-0.056170
-50;-0.054319;0.046927;-0.074246;-0.022731
-40;0.279599;0.085739;-0.072920;0.211733
-30;-0.120272;-0.139861;-0.027562;-0.226404
-20;0.308967;0.093366;0.211594;0.180089
-10;1.957857;1.959907;1.922906;1.983580
0;5.025699;5.260241;5.048415;5.023864
10;8.082345;8.150532;8.431358;8.407266
20;11.317965;11.337367;11.521252;11.382139
30;14.251494;14.418855;14.136164;14.436602
40;17.360715;17.849716;17.492896;17.254195
50;19.964913;20.081691;20.038620;20.381205
60;22.788057;22.577549;23.266304;23.054546
70;25.616077;25.545038;25.954889;25.846075
80;28.482469;28.669808;28.558946;28.598310
90;30.966449;31.090966;31.079481;31.117259
100;33.617305;33.580242;33.594438;33.316833
110;35.991678;35.296158;35.981687;35.863011
120;36.175877;36.151976;36.157727;36.375855
130;35.459435;35.227152;35.610847;35.905210
140;34.585827;34.905677;34.918086;35.184733
150;34.032857;33.973789;34.469330;34.403906
160;32.871549;33.286320;33.588668;33.514233
170;32.685022;32.523865;33.065245;33.010387
180;32.210879;31.809759;32.700712;32.530400
190;31.579442;31.274833;31.965331;31.972619
200;31.094687;30.709761;31.467771;31.023115
210;30.735290;30.597683;30.855776;30.423622
220;29.857774;30.112563;30.028655;29.694632
230;29.263328;29.575330;29.923679;29.654666
240;28.526830;28.808162;28.652110;29.313685
250;27.708827;28.159940;28.578606;28.615200
260;27.701078;27.994599;27.580835;27.909862
270;27.235569;27.094823;27.643662;27.411280
280;26.959110;26.706815;26.791819;26.583567
290;26.316456;26.175053;26.295670;26.196133
300;25.560300;25.591883;24.924889;26.173252
310;25.108306;24.554099;25.212973;25.401726
320;24.936228;24.849358;24.984595;24.352752
330;23.930219;24.428236;24.068793;24.202032
340;23.978302;23.867471;23.970358;23.840935
350;23.102841;23.280670;23.755501;23.714661
360;23.059109;22.460383;23.192912;23.131502
370;22.517742;22.255383;22.507185;22.669307
380;22.104804;21.652045;22.241562;22.257368
390;21.594177;21.131328;21.714231;21.720356
400;21.503812;21.155544;21.408056;21.193654
410;20.676552;20.710999;20.801441;20.861877
420;20.495154;20.532752;20.419440;20.399780
430;19.957486;20.382388;20.134640;20.136788
440;19.664825;19.635434;19.681698;19.685709
450;19.355475;19.145506;19.415659;19.496215
460;18.653709;19.134157;18.779360;18.958061
470;18.738749;18.758998;18.901082;18.277458
480;18.267838;18.123046;18.510745;18.269341
490;18.215606;18.015882;18.130602;17.969083
500;17.388400;17.508974;17.380237;17.416655
510;16.946576;17.248293;17.168614;17.418043
520;17.273606;16.741345;16.844638;17.101528
530;16.443462;16.560952;16.749894;16.432718
540;16.158779;16.245178;15.896807;16.352880
550;15.758263;15.965030;16.145477;15.899674
560;15.730398;15.532740;16.070257;15.845154
570;15.379255;15.434252;15.361608;15.800735
580;15.140623;14.995876;14.967290;15.284067
590;14.906106;14.725938;14.555087;14.692772
600;14.446944;14.531573;14.556935;14.639170
610;13.989585;14.347295;14.185349;14.320732
620;13.892409;14.142175;14.454151;14.295845
630;13.824031;13.738505;13.683541;13.748246
640;13.204958;13.380358;13.615050;13.706647
650;13.003070;13.370287;13.149060;13.303882
660;12.694199;12.998411;13.005204;12.934450
670;12.787696;12.754627;12.799241;12.523398
680;12.397104;12.423075;12.525655;12.751374
690;12.252343;12.107649;12.075292;12.194466
700;11.954027;11.776524;11.843980;11.991792
710;11.738061;11.980558;12.069726;11.858364
720;11.271643;11.596501;11.484384;11.446357
730;11.148250;11.412023;11.273257;11.347298
740;10.901198;11.111031;10.786626;11.175393
750;10.875520;11.014907;10.923566;10.809177
760;10.544983;10.822384;10.819667;10.837650
770;10.303710;10.579440;10.661627;10.782540
780;10.073480;10.155062;10.297475;10.032815
790;9.991982;10.198633;10.061465;10.163098
800;10.000526;9.722914;9.942438;10.209497
810;9.570292;9.573941;9.578415;9.844523
820;9.484332;9.378756;9.612405;9.705405
830;9.158261;9.494223;9.278306;9.373081
840;8.902857;9.428445;9.111833;8.847847
850;9.041795;9.109932;9.056740;9.128180
860;8.682873;8.800297;8.954893;8.981471
870;8.476112;8.785989;8.618288;8.620056
