Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
2400;0.971825;0.421803;0.268144;-0.497479;-0.647025;-0.924227;-0.436092;0.492994
2410;-0.648862;0.086365;-1.285617;-0.454300;0.553679;1.002865;-0.396276;0.214548
2420;0.373587;1.038845;-0.374443;-0.307175;-0.134682;-0.963610;0.010660;-0.667772
2430;-0.478217;-0.065113;0.174119;1.036572;0.467139;-0.568367;0.166770;-0.092825
2440;-0.375423;-0.851378;-0.137356;0.436066;0.094987;0.776163;0.192267;0.136151
2450;-1.241040;-0.630697;-1.960037;0.478415;0.021899;-0.367642;-0.885792;-0.039940
2460;-0.146554;-1.369165;-0.861480;0.153003;-0.918401;-0.358574;0.322870;-0.114235
2470;-1.167105;0.253359;-0.409287;-0.129204;-0.390507;0.433928;0.564737;0.001033
2480;-0.489144;-0.234796;-0.305992;0.156877;-1.042771;-0.001984;-0.345411;-0.014209
2490;-0.662938;0.978082;-0.670216;0.436198;-1.364054;-0.277945;-0.403848;0.043980
2500;-0.102550;-1.171551;-0.140774;-0.042377;-1.087878;-0.120961;-0.874803;-0.328204
