Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
240;-3.338087;-3.247206;-2.666334;-2.642428;-3.258514;-1.884315;-3.472819;-3.484682
250;-2.041650;-2.566916;-2.313283;-2.439338;-2.056852;-2.524081;-2.952136;-3.000108
260;-1.975055;-2.357738;-1.622647;-2.490301;-2.286964;-1.396353;-0.934790;-2.545557
270;-1.441831;-2.563730;-1.824662;-1.831044;-1.999623;-1.621455;-1.681441;-3.068495
280;-0.375133;-1.661836;-2.800202;-2.745006;-2.634544;-2.029335;-1.086819;-2.269973
290;-0.852611;-1.043932;-2.333056;-2.295237;-1.268856;-1.793967;-1.730760;-2.105644
300;-1.623443;-1.459590;-0.971736;-0.789255;-1.189094;-2.168653;-1.391867;-1.540633
310;-1.641214;-1.187778;-2.726380;-2.051651;-1.626519;-1.570622;-1.174397;-0.830848
320;-1.589262;-1.745820;-1.323172;-1.479371;-1.408751;-1.748697;-1.183376;-0.930039
330;-0.921539;-1.716367;-1.064806;-1.889517;-1.770056;-2.792501;-1.267274;-1.268169
340;-0.891734;-1.317168;-0.974010;-0.750017;-0.902558;-1.498232;-1.392180;-1.405929
350;-0.545318;-1.492353;-1.986263;-1.406323;-1.453329;-1.554366;-1.192712;-0.528669
360;-1.529552;-1.546561;-1.371515;-0.385874;-0.910095;-1.334388;-0.410393;-1.067886
370;-0.945570;-0.105341;-0.876628;-0.807122;-0.246922;-1.789003;-0.946031;-0.831968
380;-0.389460;-1.066998;-1.448414;-0.088745;-0.721998;-1.106810;-0.384690;-1.230012
390;-0.797983;-0.269159;-1.512906;-1.353461;-1.160366;-0.646677;-0.389809;-0.798034
400;-1.136850;0.025993;-1.521726;0.137703;-0.016570;-0.501110;-0.246499;-1.002415
410;0.418296;-0.349173;-1.785336;-0.437622;-0.637777;-0.767310;-0.600842;-0.761879
420;-0.755821;-1.042479;-0.094960;-0.982821;-1.256262;-1.006049;-0.131000;0.002186
430;-0.614482;-1.103865;-0.257638;-1.197303;0.154782;0.703145;0.093609;-1.126651
440;0.150263;-0.484189;-0.042398;-0.604438;-0.354993;-1.285427;-1.215178;-1.756343
450;-0.190129;-0.413608;-0.172891;-0.403839;-2.017393;-0.803893;-1.294897;-0.725323
460;-0.416410;-0.803712;0.293145;-0.862816;-0.701479;-0.420639;-0.861137;-0.249334
470;-0.694172;-1.329023;-0.021462;-0.434886;-0.392363;-0.360582;-0.894161;-0.162427
480;-0.529653;-0.767931;0.121656;-0.527916;-0.826411;-0.985851;-0.219559;-1.620359
490;-0.823671;-1.250841;-0.842952;-0.525373;-0.448550;-0.483581;-1.583570;-0.892096
500;-0.677630;0.613895;-0.101008;-0.043046;-0.117893;1.028089;-0.357605;0.048308
510;0.328736;0.533574;-0.691922;-0.092934;0.845698;-0.473879;-0.052567;-0.550815
