Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
140;40.946415;40.303288;39.506631;39.799530;40.157936;38.725371;40.707979;40.063152;38.943201;39.860277
150;37.607417;38.806068;38.239580;38.614454;38.941336;39.613874;38.490052;39.066225;39.444605;39.634458
160;39.469259;38.919221;38.885390;38.801247;37.193340;39.208718;38.815922;38.027319;38.897318;37.805141
170;38.659951;37.737428;37.337191;37.544626;38.098148;38.101781;37.754703;38.620676;37.677147;37.938293
180;38.512276;38.617846;37.023506;38.142169;37.639539;37.794398;36.273578;37.334022;37.032716;37.480341
190;37.935372;38.296593;36.229077;37.811424;37.107340;36.612964;35.632315;36.832875;36.053855;35.970472
200;37.134448;37.672624;37.247815;36.723394;36.884606;36.842476;38.103568;37.182617;36.717027;36.659265
210;36.630115;35.911467;35.589126;38.021848;36.405509;36.870137;36.841796;35.924613;36.522679;36.745853
220;36.607195;35.500676;37.513987;35.205830;35.888965;34.746999;36.484141;36.369224;36.345524;35.705637
230;35.871662;35.738433;35.015765;36.812171;35.992863;35.945335;37.391426;36.444173;35.639211;36.241018
240;36.433204;36.069692;36.066999;34.987708;35.852658;35.167098;34.650135;35.563614;36.187983;36.215924
250;34.920809;34.230098;35.917066;35.133834;35.015767;36.194810;34.880670;35.261001;35.029761;35.594118
260;35.460051;35.527753;35.643565;34.032845;33.477306;35.023042;34.803968;34.354761;35.436420;35.358994
270;33.559823;34.582438;34.620143;34.114917;35.834471;34.184292;34.537108;34.310500;33.320330;33.562188
280;32.540652;33.242025;33.444968;34.610075;33.602770;34.845704;33.421202;34.610315;32.386528;33.976555
290;36.403646;35.186002;32.728401;32.885263;33.189801;33.451767;33.627035;34.494301;34.137033;33.297893
300;32.771463;32.992810;33.099889;34.484370;34.267996;33.601528;31.972768;33.283708;32.296824;32.308558
310;32.536338;34.099603;33.703274;32.703667;33.673632;33.464057;33.066382;33.283239;32.021389;32.536576
320;32.730282;33.221805;32.200014;33.464156;32.637209;31.958649;33.397849;33.859522;33.397233;33.503976
330;32.438107;31.182956;33.295254;33.482064;32.420187;32.877264;31.312832;31.663186;32.210089;33.572531
340;31.451496;31.647607;32.427319;32.624581;32.201532;33.525395;32.713605;31.671790;31.207316;31.730404
350;32.547666;32.350853;31.842557;32.108392;32.801558;33.655329;31.432498;31.269711;30.914412;31.534849
360;30.593913;32.487607;31.273060;31.830093;30.243736;31.152607;31.021153;31.907418;32.734943;30.559412
370;30.720724;31.627372;30.376884;32.103796;32.137290;30.286103;31.682262;30.113674;30.744315;30.460371
380;31.202691;30.681844;30.588815;31.370401;31.528948;30.613852;30.225727;30.865427;31.005742;29.644316
390;30.181842;31.086940;31.826584;30.286512;29.942135;30.040336;31.244578;29.929952;31.433685;29.576134
400;31.587165;31.386545;30.031215;30.068076;30.087710;30.099042;29.679397;30.669082;28.745975;30.494481
410;31.247998;30.120743;29.855638;29.043974;29.838052;29.923517;30.840443;30.543095;29.732227;30.746094
420;30.420139;29.777395;28.927015;30.457502;28.663106;31.094918;29.347499;29.304554;29.273296;28.462288
430;29.456612;30.974560;29.799832;29.789793;29.661421;30.527111;30.080666;29.769080;29.204837;29.386960
440;29.509601;28.638860;28.229200;30.183904;29.144459;28.735414;29.201637;29.404369;27.645549;28.545467
450;28.390478;28.018309;28.294099;28.948023;28.571442;28.968368;28.437484;28.397022;27.207990;28.770144
460;29.792786;27.764209;28.180500;29.171300;27.954267;28.008036;27.597590;28.323439;28.335611;27.689391
470;28.887711;28.365320;28.292895;28.622235;27.950348;28.885193;27.821031;28.075223;26.959880;28.089037
480;27.980218;29.491802;27.238813;27.759036;27.783626;27.893290;29.286310;27.135026;26.688765;28.710454
490;26.335443;28.388957;27.278010;27.086668;26.999249;27.714108;28.161979;28.918198;27.421550;27.548228
500;26.258572;26.721552;28.240917;27.107248;27.453550;28.194660;26.680791;27.035496;25.838147;27.303046
510;26.478945;28.099229;27.718549;27.663252;26.795747;27.931119;25.385041;27.542964;27.118844;25.788057
520;25.434754;27.017951;26.634675;27.320109;27.547602;27.824369;25.829896;28.098651;25.669171;27.438779
530;26.105953;27.025032;25.903149;27.608421;26.503517;25.601866;26.127163;26.899448;26.239941;26.693363
540;27.092143;27.340085;26.930794;25.221804;25.981804;26.030524;26.097364;27.155738;25.991772;26.709225
550;25.699131;25.516139;25.761462;26.199559;25.208214;26.310771;26.471423;25.495993;25.139451;26.563711
560;25.125105;25.614981;24.841861;25.849616;25.309522;25.986724;23.873410;25.100715;25.718774;25.852019
570;25.846698;24.214791;25.387824;26.421073;26.143725;25.033874;26.036107;26.790171;26.775265;24.736739
580;25.565317;26.372410;25.634237;24.818561;25.477781;25.616769;24.754210;26.845470;25.761751;25.176849
590;24.371813;23.742167;24.892853;25.137181;24.922308;25.431602;24.434318;24.471286;24.208936;24.810406
600;24.138945;24.967463;25.648417;24.748721;23.781996;25.116247;24.658978;25.337591;25.498364;24.465867
610;24.444930;25.035640;24.624728;26.049644;23.705791;25.039907;25.610516;24.883986;24.784384;24.169841
620;24.816939;24.082790;23.766903;25.121555;24.567634;23.973643;25.113973;23.338454;23.819437;24.189008
630;23.626332;23.706803;23.893220;23.232849;26.080721;24.356974;23.998282;23.047346;24.220862;24.175697
640;23.362593;24.046615;23.519886;23.990925;24.048774;23.980523;23.713297;22.984351;22.836994;23.644765
650;24.363150;24.066112;23.148076;23.588515;22.208447;23.540463;24.483612;23.608565;23.113937;23.642132
660;22.849685;24.249143;23.392497;23.183590;22.147690;23.251920;23.739297;23.995013;24.295092;23.182941
670;23.062001;22.911942;22.951901;23.411131;22.486385;21.514920;22.220976;23.166592;22.992740;22.362931
680;23.966334;21.375678;22.766709;22.285377;22.254729;22.918094;21.394240;23.149214;23.572629;24.170219
690;21.327926;22.420552;21.767896;23.104971;23.259134;23.119638;22.474771;23.559135;23.018084;22.962400
700;23.383137;21.580947;22.563795;22.389814;22.989988;22.077497;23.084950;22.683361;22.401829;22.553334
710;21.294633;24.027113;21.190490;21.346398;21.563995;21.829202;22.955858;21.141577;21.871186;22.431855
720;21.792609;21.877364;21.042117;22.241288;21.488317;21.372900;22.698356;21.048107;20.873706;21.818338
730;21.187136;21.197002;21.258284;21.138698;22.048267;21.584783;21.577354;21.052960;20.673690;22.483175
740;21.757443;21.647670;19.844905;20.927622;21.520788;21.657474;21.922483;22.514870;21.428364;21.417726
750;20.490126;22.230272;21.365918;19.621705;20.699485;21.568192;20.994927;22.876552;20.305830;22.036411
760;20.566971;21.975593;21.045203;20.842363;20.145267;21.289259;19.778528;20.966640;20.936437;20.109842
770;20.048796;22.401024;19.101780;20.764409;20.047590;21.487168;20.385993;19.911359;20.121742;19.596492
780;20.573986;20.672743;20.357709;20.265037;21.133950;20.175528;20.616269;20.580173;19.932139;21.707142
790;19.929145;21.062775;19.099256;19.549461;19.177342;19.070379;19.931457;20.291222;20.258131;20.913185
800;20.195478;20.800786;19.789368;20.349771;21.179379;19.061083;20.441108;20.369024;19.071392;20.232022
