Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD];TA11 [mOD];TA12 [mOD];TA13 [mOD];TA14 [mOD];TA15 [mOD];TA16 [mOD];TA17 [mOD];TA18 [mOD];TA19 [mOD];TA20 [mOD]
-150;-0.071396;-0.254345;-0.060036;-0.083501;-0.095883;-0.123352;0.018853;-0.010814;0.014849;0.099579;0.050491;-0.137959;-0.060500;-0.137506;0.040562;0.013652;0.022408;-0.091720;-0.217178;0.053260
-140;-0.150834;-0.066220;-0.037696;-0.020867;-0.021269;-0.101787;-0.174061;-0.135509;0.159804;-0.094751;-0.018817;-0.142199;0.139506;-0.030856;-0.097000;0.007619;0.009217;-0.043744;0.014455;0.052417
-130;-0.199445;0.107217;-0.085205;0.071909;-0.227119;-0.035284;-0.074223;-0.047328;0.016425;-0.172485;0.033683;0.034890;-0.114783;-0.269086;-0.198676;-0.036769;-0.083614;-0.022892;-0.169396;-0.241941
-120;-0.138561;-0.045320;-0.120657;-0.253943;0.187091;0.155672;-0.060580;-0.175721;-0.058037;0.024056;0.179110;-0.176256;0.028077;-0.081660;-0.104213;-0.023613;0.133211;-0.007218;0.002812;0.098717
-110;0.015631;-0.100337;0.089802;-0.095809;-0.257319;-0.083547;-0.123730;0.031230;-0.042518;-0.097131;0.042801;0.026455;-0.376649;0.027622;-0.081365;-0.001602;-0.230268;-0.152764;-0.027633;0.145647
-100;-0.002405;-0.000802;0.009620;-0.096924;-0.018466;-0.101696;-0.123117;-0.052885;-0.115264;-0.129872;-0.078945;-0.050435;-0.092874;0.016032;0.036115;0.212299;-0.110729;0.022450;0.151589;-0.065386
-90;-0.024040;-0.053706;0.013235;-0.143862;0.014832;-0.244764;0.012431;-0.203021;0.120123;-0.089320;-0.024468;-0.148722;0.060863;0.022458;-0.008418;-0.079342;-0.137591;-0.084177;0.043670;0.129216
-80;-0.039198;0.012032;-0.115847;-0.020444;-0.145378;0.180713;0.225524;-0.211066;0.159448;-0.056936;-0.131744;-0.246822;0.034794;-0.102990;0.110280;-0.010060;-0.047580;0.156567;0.033323;-0.012823
-70;0.125159;0.041747;0.254707;0.199806;-0.209023;-0.141532;0.035340;-0.276135;-0.053302;0.010021;-0.104986;0.069700;0.079341;-0.238393;0.103101;-0.147978;-0.086034;-0.080611;-0.080297;0.017626
-60;0.127305;-0.145964;0.018035;-0.043337;0.024888;-0.121841;-0.184119;-0.075364;0.088156;0.103308;0.097301;0.249204;-0.194780;-0.102530;0.045730;-0.162913;0.055640;0.189510;0.090188;-0.180052
-50;0.109550;-0.114835;-0.177595;-0.020813;0.232666;-0.034064;-0.088397;-0.006003;0.060017;0.200443;-0.063312;-0.223239;0.072524;-0.065837;-0.008822;-0.014194;-0.159568;-0.032818;-0.127391;-0.134061
-40;-0.043304;0.012440;-0.050119;-0.035315;-0.126718;0.097382;0.097254;-0.053707;-0.066430;0.005611;-0.130658;0.200571;-0.077336;-0.087521;-0.147155;-0.083828;-0.021619;-0.206871;0.189385;-0.120944
