Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;-0.383344;-0.263187;-0.783062;-0.501290;-0.489143;0.491739;-0.355428;-0.179128;-0.210296;-0.096397
-390;-0.191587;0.279664;0.062397;-0.491674;-0.063577;-0.199788;0.154785;0.203066;-0.419477;-0.235578
-380;0.136156;-0.320332;-0.444868;0.527449;-0.379683;-0.507396;-0.567466;0.058053;0.284188;-0.198465
-370;0.465455;0.075002;-0.418723;-0.166101;-0.457445;-0.210177;0.105148;-0.139939;-0.459325;-0.333192
-360;-0.681718;-0.295154;-0.232171;0.154523;0.108082;-0.265676;-0.066130;-0.406644;-0.084400;-0.476646
-350;-0.440512;-0.358419;-0.463238;-0.082012;-0.473655;0.120306;-0.000000;-0.159002;0.190221;-0.529258
-340;-0.134018;-0.138348;-0.045068;-0.161313;-0.121409;0.400449;-0.070924;-0.233716;-0.134197;-0.017837
-330;-0.170825;-0.264384;-0.312905;-0.237307;-0.112669;0.357556;-0.430480;-0.199456;-0.250224;-0.029760
-320;-0.273700;-0.283412;-0.086603;-0.089048;0.049270;-0.815486;-0.036639;-0.328566;-0.704965;-0.067828
-310;-0.519280;-0.403353;-0.298375;0.235491;-0.067226;0.210081;-0.285810;0.028521;0.529860;-0.219175
-300;0.280700;-0.142951;0.354480;0.046276;-0.021610;0.023589;0.094523;-0.141216;-0.066655;-0.323576
-290;-0.315257;-0.326326;-0.774787;-0.879377;-0.085245;-0.708418;-0.459763;-0.506843;-0.079637;-0.572594
-280;-0.282266;-0.187278;-0.095776;-0.202841;-0.638347;-0.636410;0.217305;0.035501;-0.110635;0.111885
-270;0.105281;-0.345677;-0.757920;0.103313;0.039640;-0.466628;0.165436;0.302589;-0.441168;0.184618
-260;-0.511035;-0.450183;-0.943594;-0.008300;-0.076745;0.011824;-0.119264;-0.595369;-0.546177;-0.266785
-250;0.420651;-0.549783;-0.080899;-0.081880;-0.505476;0.022444;-0.582577;0.067666;-0.211734;-0.044007
-240;-0.614038;0.062377;-0.050866;-0.223230;-0.717596;-0.187978;-0.107398;-0.481493;0.114147;0.181905
-230;0.142924;-0.326807;-0.841691;0.320876;-0.390313;-0.144298;-0.111024;0.129286;-0.403454;0.443539
-220;-0.345344;-0.677310;-0.315684;-0.526526;-0.421217;-0.703548;-0.490809;-0.183694;-0.156022;-0.771159
-210;0.139358;0.226783;-0.155296;0.016631;-0.397241;-0.397138;-0.172530;-0.233675;-0.032142;-0.134515
-200;-0.432373;0.197346;-0.413875;-0.131706;-0.197943;0.206970;0.029511;-0.394042;-0.182270;-0.542847
-190;0.200139;0.231715;0.987802;-0.369336;0.064884;-0.317128;0.330964;-0.405253;-0.216431;-0.386966
-180;-0.933586;0.254430;-0.874624;0.369182;0.001200;-0.746667;0.221073;-0.345831;-0.148676;-0.618943
-170;-0.216981;0.269436;-0.487555;0.017825;0.107960;-0.307628;-0.133515;-0.440588;-0.604575;-0.531944
-160;-0.161086;-0.358805;-0.569381;0.054629;-0.706596;0.125210;0.074495;-0.474841;-0.384692;-0.594507
-150;0.128185;-0.298122;-0.156486;0.202094;-0.312957;-0.189333;0.218552;-0.347918;-0.145441;0.091537
-140;-0.285677;0.180195;-0.005800;0.060733;-0.478143;-0.319446;-0.477994;-0.091317;-0.500809;0.259060
-130;-0.348191;-0.400776;-0.125328;-0.322497;-0.629003;-0.047309;0.053227;0.688031;0.050072;-0.204670
-120;-0.294432;-0.309500;0.259841;0.115416;-0.061195;-0.352461;-0.131288;0.022537;-0.351419;0.054815
-110;0.309497;-0.199183;0.005794;-0.126283;-0.674574;-0.432509;0.194042;-0.288505;-0.673775;-0.486704
-100;-0.217590;-0.157695;0.144911;-0.339966;-0.282252;-0.781034;-0.320244;-0.027231;0.215690;0.104780
-90;-0.358723;-0.576948;-1.136704;0.092696;0.589141;0.033092;0.309611;-0.455352;-0.054860;-0.453924
-80;-0.723589;0.100717;-0.136923;-0.586046;-0.657919;0.327774;-0.435653;0.324470;-0.453979;-0.489690
