Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
140;12.073627;12.787138;12.362077;12.325150;12.205486;12.013581;12.002163;12.229791;12.299723;12.324612
150;11.684132;12.188381;12.287877;11.729611;12.219763;11.825357;11.474480;12.815064;11.816899;12.086285
160;11.506220;11.858211;11.816700;11.661042;11.435416;11.415675;11.327679;11.855253;12.117279;11.782203
170;10.919442;11.462959;11.802443;11.525980;11.865102;11.546500;11.165247;11.342161;10.888498;11.430619
180;11.869116;10.830201;11.616578;10.750731;11.370726;11.042211;11.596250;11.158156;10.999572;11.814914
190;11.620810;10.756052;10.929653;10.867052;10.786919;11.314001;10.749992;10.967566;11.066647;11.162884
200;11.082764;11.175096;11.004655;11.196369;11.520176;11.075265;11.185959;10.952159;11.249718;10.739994
210;10.678304;10.670145;10.785853;10.483466;10.613454;10.550631;10.851550;10.798430;10.870109;9.580968
220;10.306834;11.199709;10.594357;10.447832;10.200297;10.277157;10.082690;9.998503;10.650200;10.819625
230;9.762043;10.729940;10.221202;10.098871;9.505716;10.073353;10.740852;10.163482;9.978373;10.228112
240;10.123230;9.959791;10.477400;10.041699;10.002529;10.155613;9.988979;10.190052;10.202079;10.414136
250;10.259929;9.768869;9.422227;9.856525;10.351024;10.009201;9.781050;10.832957;10.381550;9.588969
260;9.584819;10.164233;9.330730;9.582372;9.771082;10.285381;10.636844;9.943563;10.041643;9.405785
270;10.134819;10.214592;9.538085;9.179114;9.315657;9.861426;9.983895;9.850884;9.384017;9.753424
280;9.846191;8.972086;9.852914;10.209395;9.345748;9.116808;9.758383;9.436265;9.446815;8.572885
290;9.458441;9.489406;9.732157;9.532867;9.702707;10.111483;9.376848;9.988870;9.155252;9.285113
300;9.340359;8.837347;9.913591;9.462774;9.677467;9.005340;9.083773;9.006574;9.326909;8.767893
310;9.611711;9.128548;8.931904;9.332037;8.977388;8.589321;8.798725;9.189484;8.921159;8.730745
320;9.722838;8.724456;8.638625;9.241585;9.338011;8.911169;8.637314;9.039157;9.371803;8.594585
330;9.694148;9.029516;8.742621;9.136291;8.669067;8.975597;8.636051;8.593848;9.723891;9.245078
340;8.639932;8.635820;8.622634;8.919425;8.726205;9.080699;8.716977;8.469379;8.318929;8.594230
350;9.717533;8.061848;9.033960;8.823053;8.833106;8.646892;8.561022;8.370427;9.049545;8.151591
360;8.577896;8.465866;8.539224;8.510677;8.781354;8.919824;8.338805;9.125973;8.616284;7.225068
370;8.873968;8.165087;8.889294;8.450246;8.962543;8.748705;8.826905;8.490610;8.696534;8.548849
380;8.464147;8.463543;8.651080;8.151507;8.364311;8.012771;8.337788;7.883268;8.743692;8.599715
390;8.045606;7.666747;7.617625;7.314034;8.250933;7.814890;8.299982;8.634490;8.143619;7.380953
400;8.232197;8.181627;8.297864;8.489930;7.868970;8.597567;8.726692;8.577003;8.099426;7.273661
410;7.401965;7.005365;7.557450;7.451925;7.806124;7.762583;7.982006;8.244831;7.860721;8.295909
420;8.417382;7.818927;8.323505;7.909600;7.695734;8.109055;8.360164;8.239391;8.085604;7.573327
430;7.691601;7.499866;7.399446;7.328993;7.452629;7.760885;7.352397;7.676668;7.823030;7.870997
440;7.350862;8.394381;8.390948;7.726355;8.052431;7.993118;7.178939;7.541923;7.643857;7.645705
450;7.759587;8.045422;7.906434;8.299723;7.369540;7.438254;7.251317;7.516088;7.442460;7.035069
460;7.688773;6.781054;7.443580;7.635800;7.301438;7.292615;7.216827;7.942464;7.504053;6.633451
470;8.019951;7.285987;6.938906;7.633329;7.367822;7.244404;6.848864;6.251425;7.312040;7.622830
480;7.493085;7.500223;7.444018;7.394186;7.203229;7.212191;7.243958;7.462245;7.655632;6.973031
490;7.089182;7.245834;6.999600;6.957189;7.235543;6.967547;7.386196;7.446938;6.758510;7.223186
500;7.177375;7.059669;7.413843;7.036921;7.365447;6.813228;7.277761;6.491405;7.157091;7.122198
510;6.558066;6.881245;7.953256;7.568655;6.732066;7.355431;6.927328;6.692682;6.721712;7.186910
520;7.105779;6.711188;7.305400;6.889320;7.025306;6.919128;6.900994;7.674904;7.681380;6.880445
530;6.447667;7.018435;7.117668;6.549668;7.272320;6.994840;6.731098;6.763663;6.438128;6.531729
540;6.771992;7.037032;6.192615;6.733167;7.010070;6.802163;6.325682;7.236286;6.847446;6.751317
550;6.861850;6.839946;6.758351;7.367719;7.072856;7.192911;6.770508;7.070582;6.825005;6.059049
560;6.674638;7.242536;6.714125;6.274805;6.958549;6.033082;6.354451;6.647693;6.564500;7.017778
570;6.970858;6.460665;5.856765;6.865313;6.376862;6.871291;6.421087;6.228610;5.948218;6.511366
580;6.491006;6.470445;6.541258;6.577203;5.961219;6.415417;6.496419;7.410849;6.319277;5.826398
590;6.145602;6.393915;6.294136;6.417111;6.211178;6.092456;6.197107;6.643263;6.095367;6.813535
600;6.159692;6.158194;6.388720;6.046542;6.048716;5.588159;6.531722;6.857219;7.394220;6.034846
610;6.608468;5.893712;5.558851;6.259178;6.123101;6.046558;6.590954;6.097548;6.049833;6.584436
620;5.802288;6.859296;6.794460;5.864404;5.986144;6.050502;6.949629;5.436035;5.738889;5.932219
630;6.256600;5.765131;6.253971;5.677373;5.727636;5.623778;6.022361;5.574763;5.733530;5.512498
640;5.596525;5.801237;5.722676;6.398800;6.162497;5.542665;5.642078;5.724525;5.878945;6.238582
650;6.241310;6.671097;5.843458;4.768650;5.831220;5.842004;5.680542;5.928745;5.365319;5.643608
660;6.288768;6.184098;5.441471;5.510175;6.109746;5.691722;5.766425;6.071558;5.986683;5.895420
670;5.716464;5.310597;5.960209;6.031710;5.765000;5.697761;5.845644;5.552687;5.754033;5.261299
680;5.783870;5.866394;5.648674;5.873843;5.391045;5.556167;5.072179;5.058488;5.967448;5.597931
690;5.334537;5.731835;5.320885;6.024244;5.696134;4.570529;5.297034;6.288253;5.752457;5.205103
700;5.533919;5.873167;4.941450;5.838907;5.213378;5.721266;5.942360;5.061918;6.093364;5.969380
710;5.352429;5.708602;5.932113;5.323327;5.047446;5.418078;6.222092;5.203462;5.560096;5.789898
720;5.271590;5.802575;5.058330;5.239989;5.720268;5.130434;5.297844;5.287920;5.601051;5.481174
730;4.344784;5.754642;5.505951;5.644668;5.484752;4.753212;5.708822;5.738791;4.647327;5.756882
740;5.255372;5.313979;5.426666;5.643459;4.708941;5.312609;5.345339;5.428006;5.327603;5.629832
750;5.048083;5.487430;5.183966;5.616540;5.358502;5.499147;4.616249;5.639031;5.030817;5.089893
760;5.113053;4.890156;5.118679;5.294361;5.072643;4.880305;5.518633;5.330755;4.803341;5.253266
770;5.716701;5.630069;5.287692;4.577323;4.981509;4.702593;4.423698;4.650450;5.252134;5.283793
780;4.583571;4.722715;5.329276;4.818492;5.006790;5.947113;5.150925;5.251240;4.821466;4.563326
790;4.617438;5.375162;5.312843;4.844641;5.081906;5.004114;5.228743;5.024619;4.577977;5.553787
800;5.006451;4.398285;5.195677;4.615871;4.966079;5.244635;4.744960;4.741749;4.736298;5.081020
810;5.026284;4.657018;4.787803;4.789794;5.252563;5.002785;4.703178;5.025947;5.362084;5.453592
820;4.575781;4.517295;4.872657;5.309255;5.434234;4.328702;4.192354;4.037026;4.802132;4.869483
830;5.020810;5.244559;4.878110;4.633892;4.803425;4.754894;4.442050;5.384545;4.854063;4.320823
840;4.065168;4.969817;4.667602;4.992410;4.554695;5.038233;4.648579;5.001897;4.486921;4.619295
850;4.968895;4.892609;4.799603;5.044307;5.386640;5.210814;4.565730;5.031723;4.878859;4.440340
860;4.640367;4.200578;4.992511;5.286059;4.867939;4.646395;4.526644;3.768197;4.394196;5.094422
870;4.767941;4.962588;5.287777;4.494352;4.801882;4.718708;4.860666;4.743806;5.008627;4.391371
880;4.966276;4.521761;4.527834;5.085785;4.597627;4.943361;4.892221;4.585129;5.114498;4.907410
890;5.346817;4.254057;4.645665;4.874144;4.948656;4.377264;4.794973;4.172376;4.404081;4.027953
900;4.715680;4.954693;5.205972;5.539356;4.855210;5.438889;4.771237;4.421018;4.529509;4.411469
910;4.659150;3.895681;4.515764;4.343194;4.632258;4.824634;4.422229;4.329834;4.983765;4.107702
920;4.734694;4.447352;4.403346;4.579719;4.889815;4.960258;4.566123;4.468170;4.591541;4.716961
930;4.849389;4.539733;3.765260;4.424338;3.547172;4.481809;4.769969;4.429058;3.928055;4.652334
940;4.874949;4.656912;5.095699;4.905152;4.660866;4.205967;4.343832;4.298619;4.491842;4.396747
950;4.645793;4.678627;4.762665;4.246623;4.079363;4.815180;4.568643;4.132443;4.503514;4.745146
960;4.731572;4.661113;4.361378;4.265798;4.753243;4.426900;4.305243;5.100718;4.343550;3.561808
970;4.172100;4.584267;3.970520;4.425532;4.768124;3.836011;4.341850;4.770225;4.242891;4.045964
980;4.199415;3.911064;4.680752;4.133684;4.470548;4.846028;4.627960;3.859354;3.787637;3.887111
990;4.039711;4.765678;4.007996;4.544746;4.559726;4.237897;3.986082;3.981925;4.280032;4.070225
1000;5.234555;3.823232;4.481459;4.073648;4.396075;3.473954;3.850853;3.665583;3.585181;4.594319
1010;4.147157;4.030127;4.683950;4.209528;4.007288;5.260664;3.930567;4.216964;4.292406;4.817408
1020;4.630292;4.444340;4.184489;4.596752;3.796061;4.370374;3.676611;3.394859;4.376016;4.108476
1030;3.934458;4.155995;4.415658;4.221661;4.138088;4.299651;4.005466;3.964417;4.698175;4.108101
1040;3.953862;4.088590;3.814583;4.279672;3.953717;4.165274;4.435800;4.418827;4.255606;3.287139
1050;4.291266;4.205529;4.050899;4.176145;4.200374;4.238790;4.362945;4.810874;4.428204;3.264781
1060;4.438580;3.739460;4.073797;4.201064;4.195951;3.991250;3.763266;4.561948;3.885813;4.531035
1070;4.398575;4.572374;4.719355;3.920221;4.830598;3.904309;4.064256;3.833513;4.036651;4.083293
1080;3.787127;3.297064;4.783203;4.132409;3.948393;4.187749;3.624813;3.161439;4.091354;3.635857
1090;3.395403;4.072130;4.114736;3.824083;4.266094;4.053361;4.354249;4.144808;3.234150;4.159026
1100;4.851589;4.165637;4.356204;4.005188;4.751927;3.715895;4.262581;4.005629;4.223114;3.696404
1110;3.707053;4.175087;4.627829;3.502518;4.019076;4.238126;3.264354;3.855943;4.364872;4.050569
1120;3.879922;4.419249;3.808509;4.391507;4.189114;3.848108;4.452871;4.650471;3.994070;4.353130
1130;4.408168;4.612267;3.436883;4.171298;3.709268;3.780182;3.996533;4.220566;4.126358;4.193577
1140;4.083603;4.145935;3.879922;4.540404;3.849188;4.310541;4.271178;4.615227;4.445903;4.098451
1150;3.789616;4.103042;3.711167;4.330104;3.757904;4.268909;3.992627;3.810858;3.867915;3.714602
1160;4.414965;3.785445;4.061791;3.160836;3.727980;3.859085;3.987398;4.002668;3.791236;4.307905
1170;4.099146;4.269326;3.977063;2.717792;4.135321;3.968711;3.275783;3.892644;3.796397;3.171773
1180;3.840370;4.110497;4.403545;4.952733;3.582545;4.665232;4.534167;2.996372;3.346660;4.012940
1190;3.426195;4.148942;3.168829;4.151149;3.226393;3.875431;4.269406;4.156051;3.540748;3.410181
1200;3.203449;3.885955;3.797179;3.919542;3.261850;4.017254;4.046637;4.493969;2.940218;4.303052
1210;3.643838;4.301500;4.020872;3.802101;4.055606;4.088419;3.186787;3.856653;3.907593;4.189878
1220;4.438458;3.196803;3.263346;3.892839;3.435877;3.849932;4.523505;3.388123;3.385260;3.609857
1230;4.197005;4.107775;3.742327;3.595240;3.646999;3.666882;3.915316;3.616904;4.431350;4.014284
1240;3.223263;3.576914;3.955261;3.244630;4.092972;3.899236;4.180838;3.615483;3.214210;3.544034
1250;3.779206;3.767239;3.914813;2.880397;3.437715;3.376341;3.253867;3.558888;3.874213;3.049793
1260;3.798876;3.985185;3.074872;3.664663;4.060020;3.534791;3.389469;3.439560;3.891441;3.360237
1270;3.950353;4.235393;3.646246;3.756366;3.994110;3.445539;4.118108;3.722191;2.868285;3.903897
1280;3.837366;3.871489;3.344864;3.698846;3.513170;3.732333;3.790989;3.995693;3.146202;3.629867
1290;3.172746;3.370743;3.843631;3.437146;3.686761;4.176474;3.545913;3.939226;3.268979;3.650618
1300;3.605493;3.776325;3.521775;3.732611;4.185016;3.788856;3.425166;2.907503;4.007080;4.015878
1310;3.557881;3.534359;3.606985;4.146755;3.719441;3.503235;3.419932;3.801069;3.034160;3.651625
1320;3.380590;3.271003;2.728319;3.671345;4.124594;3.431074;3.033300;4.166875;3.369410;4.173655
1330;3.482847;3.234542;3.574611;3.953801;4.320736;3.425348;3.987992;3.572304;3.492107;3.543909
1340;3.111915;3.728281;3.353784;3.059443;3.336569;3.159341;3.743246;3.254093;3.585981;3.823129
1350;3.606176;4.224695;3.332005;3.449170;3.738255;4.268611;3.328966;3.722654;2.916899;2.672740
1360;2.923315;3.608102;3.333540;3.627880;3.832231;3.750296;3.639560;3.574904;3.180778;3.055599
