Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
140;15.307894;14.914011;14.254215;14.426135;14.654205;13.993079;13.934967;14.541090;13.591609;14.417133
150;15.045098;15.322626;14.690557;14.217189;13.717120;14.253821;14.193236;14.646352;13.699289;13.975958
160;14.880080;15.414355;14.271698;14.060066;13.757245;14.306941;13.877194;14.451716;13.437531;13.855879
170;14.969542;14.352752;14.669449;14.216863;14.034327;14.274915;13.142013;14.010716;13.718739;13.677068
180;14.590981;14.899446;14.198348;14.058768;13.111012;13.269905;13.300100;13.716573;12.927383;13.648988
190;14.119763;14.081794;14.032723;14.095924;13.410402;13.709563;13.486295;13.628175;13.479215;13.264459
200;14.420161;14.383366;14.012238;13.867983;13.358620;13.940064;13.474561;13.427502;13.240370;13.306107
210;13.891039;13.982046;13.371674;13.759540;12.834485;13.304256;12.929368;13.409054;13.314203;12.742245
220;14.388999;13.861041;13.188344;14.046337;13.252191;13.238228;12.957299;12.839410;13.067768;12.540675
230;14.032682;13.536567;13.804010;13.161608;13.178497;12.832140;12.497425;13.445069;12.073658;12.749964
240;14.037368;13.443633;13.512629;12.865879;12.448539;13.051514;12.978410;13.236970;12.789070;12.694163
250;13.419946;13.326689;13.129510;12.807874;11.638365;12.470227;12.462587;12.582840;12.611117;12.448980
260;13.451469;12.945388;12.788559;13.018828;12.468715;12.882959;12.167690;12.611989;12.492643;11.949645
270;13.462401;13.423361;13.324139;12.776002;12.359132;11.977537;12.192311;12.268424;11.714007;12.049305
280;13.071537;13.037261;12.855770;12.426946;12.155958;12.254903;12.285319;12.264492;11.918092;11.924001
290;13.162614;12.933576;12.544552;12.168116;11.934127;12.419773;11.806036;12.800290;12.052510;12.499045
300;13.095552;13.152520;12.303717;12.290286;11.892163;11.857139;11.772296;11.882650;12.125661;11.897361
310;13.220953;12.623215;12.258096;12.075633;11.656617;11.625368;11.330783;12.068013;11.603829;11.033899
320;12.360754;12.514847;12.218131;12.256538;11.843843;11.748383;11.258548;12.293475;12.129879;11.268850
330;11.813016;12.571198;11.542622;12.317323;11.643920;11.441979;11.436502;12.044808;10.814173;11.670094
340;11.966503;12.453630;11.996351;11.758479;11.548219;11.824982;11.450916;11.472468;11.341903;11.050184
350;12.691948;12.209986;11.616727;11.344598;11.030534;11.535610;10.961784;11.666891;11.432368;11.250209
360;11.795786;12.280159;11.654353;11.511567;11.160141;11.511489;10.846719;11.285896;11.105730;11.203886
370;12.521784;11.634878;11.848333;11.668207;11.225662;11.026122;10.808772;11.303987;10.144114;10.883399
380;12.094168;11.978857;11.539984;11.948109;10.817946;10.820107;11.080190;10.848750;10.553756;10.881886
390;11.773798;11.444008;11.434068;11.486968;11.125902;11.002374;10.979524;10.857092;10.599642;10.667376
400;11.734019;11.470548;11.127847;11.377582;10.573174;10.200848;10.348045;10.950643;9.710966;10.699553
410;10.989896;10.882832;10.641588;10.530651;10.800882;10.459580;10.518623;10.625318;10.360154;10.504547
420;10.980999;11.628124;10.324011;10.490810;10.332720;10.301841;10.032616;10.679547;10.537014;10.225068
430;10.898226;10.705433;10.942417;10.957010;10.402029;10.303228;9.839562;10.696365;10.480086;10.452418
440;10.778132;11.260762;10.762173;10.706513;10.353702;10.652252;9.801337;10.800105;10.007739;10.097770
450;10.929589;10.418669;10.298460;10.658306;10.271861;10.217558;10.366880;10.139756;9.679063;10.856567
