0pol_90_100_at_750.00nm_cut_at_984.50Y_02.dat
24.04.2023
10:48:19
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	12603.234
586.124	12275.362
586.252	12192.043
586.380	12246.085
586.508	12321.745
586.637	12390.766
586.765	12484.468
586.893	12440.468
587.021	12531.021
587.149	12599.447
587.277	12455.553
587.405	12616.617
587.533	12536.043
587.662	12742.426
587.790	12662.468
587.918	12613.021
588.046	12584.255
588.174	12542.447
588.302	12688.234
588.430	12620.830
588.558	12580.064
588.687	12608.447
588.815	12647.532
588.943	12580.936
589.071	12591.021
589.199	12682.766
589.327	12660.681
589.455	12547.021
589.583	12711.511
589.712	12736.234
589.840	12614.362
589.968	12688.277
590.096	12696.766
590.224	12742.021
590.352	12714.553
590.480	12696.702
590.608	12671.766
590.737	12798.681
590.865	12850.596
590.993	12741.809
591.121	12779.064
591.249	12816.255
591.377	12734.085
591.505	12837.106
591.633	12911.085
591.762	12841.170
591.890	13015.957
592.018	12829.894
592.146	12898.064
592.274	12887.489
592.402	12893.149
592.530	12950.191
592.658	13159.043
592.787	12958.000
592.915	13147.894
593.043	13026.447
593.171	13092.830
593.299	13127.213
593.427	13117.170
593.555	13207.830
593.683	13212.723
593.812	13237.021
593.940	13267.489
594.068	13292.468
594.196	13408.915
594.324	13370.489
594.452	13364.936
594.580	13450.234
594.708	13442.447
594.837	13461.574
594.965	13544.106
595.093	13581.894
595.221	13545.468
595.349	13784.191
595.477	13702.128
595.605	13697.085
595.733	13675.362
595.862	13913.596
595.990	13768.085
596.118	13849.745
596.246	13960.979
596.374	13874.489
596.502	13867.638
596.630	13860.000
596.758	13838.787
596.887	13893.277
597.015	13909.489
597.143	13975.681
597.271	13948.596
597.399	13901.553
597.527	13947.021
597.655	14013.043
597.783	13936.021
597.912	13983.979
598.040	13980.745
598.168	14063.340
598.296	13993.872
598.424	13990.617
598.552	14036.511
598.680	13984.383
598.808	14114.723
598.937	14063.553
599.065	13970.766
599.193	14091.404
599.321	14087.660
599.449	14030.915
599.577	14007.660
599.705	14111.957
599.833	14105.851
599.962	14057.277
600.090	14172.596
600.218	14161.234
600.346	14201.213
600.474	14130.957
600.602	14158.191
600.730	14246.596
600.858	14261.340
600.987	14420.681
601.115	14334.979
601.243	14384.532
601.371	14380.085
601.499	14454.255
601.627	14459.319
601.755	14508.234
601.883	14638.511
602.012	14641.574
602.140	14588.872
602.268	14792.553
602.396	14674.277
602.524	14855.638
602.652	14853.362
602.780	14868.191
602.908	14928.979
603.037	14959.234
603.165	15014.660
603.293	15034.596
603.421	15097.979
603.549	15158.702
603.677	15288.915
603.805	15218.170
603.933	15310.128
604.062	15463.894
604.190	15358.319
604.318	15502.532
604.446	15496.426
604.574	15599.787
604.702	15618.149
604.830	15646.000
604.958	15699.255
605.087	15730.021
605.215	15738.511
605.343	15807.638
605.471	15878.830
605.599	15957.915
605.727	15940.596
605.855	15914.128
605.983	15981.298
606.112	16044.553
606.240	16027.426
606.368	16072.872
606.496	16270.447
606.624	16130.681
606.752	16205.213
606.880	16322.617
607.008	16406.745
607.137	16312.872
607.265	16131.149
607.393	16259.511
607.521	16333.149
607.649	16263.426
607.777	16269.149
607.905	16293.723
608.033	16278.894
608.162	16303.638
608.290	16331.660
608.418	16314.830
608.546	16363.915
608.674	16312.766
608.802	16286.106
608.930	16293.936
609.058	16363.723
609.187	16494.213
609.315	16452.383
609.443	16342.468
609.571	16479.447
609.699	16408.362
609.827	16522.553
609.955	16444.191
610.083	16408.894
610.212	16413.128
610.340	16449.319
610.468	16501.085
610.596	16563.319
610.724	16526.830
610.852	16513.702
610.980	16545.489
611.108	16583.511
611.237	16547.106
611.365	16583.447
611.493	16583.511
611.621	16664.468
611.749	16672.532
611.877	16771.745
612.005	16724.766
612.133	16838.617
612.262	16876.936
612.390	16875.106
612.518	16949.426
612.646	17107.191
612.774	16963.319
612.902	17053.638
613.030	17106.553
613.158	17321.298
613.287	17223.191
613.415	17265.191
613.543	17194.979
613.671	17186.064
613.799	17364.809
613.927	17304.681
614.055	17385.915
614.183	17493.681
614.312	17402.447
614.440	17516.170
614.568	17484.787
614.696	17599.149
614.824	17747.574
614.952	17661.000
615.080	17768.702
615.208	17771.532
615.337	17884.957
615.465	17894.340
615.593	18049.489
615.721	18244.319
615.849	18300.936
615.977	18296.128
616.105	18322.362
616.233	18280.660
616.362	18364.617
616.490	18374.702
616.618	18474.277
616.746	18522.277
616.874	18594.553
617.002	18553.872
617.130	18628.723
617.258	18730.660
617.387	18659.936
617.515	18712.957
617.643	18734.277
617.771	18707.511
617.899	18787.638
618.027	18785.745
618.155	18907.170
618.283	18868.574
618.412	18901.766
618.540	18965.766
618.668	18949.681
618.796	18972.660
618.924	19087.340
619.052	19020.915
619.180	19056.617
619.308	19145.340
619.437	19100.872
619.565	19019.574
619.693	19079.766
619.821	19158.617
619.949	19152.191
620.077	19211.468
620.205	19278.468
620.333	19283.362
620.462	19294.532
620.590	19338.085
620.718	19298.553
620.846	19370.553
620.974	19355.638
621.102	19324.234
621.230	19301.021
621.358	19518.468
621.487	19370.021
621.615	19425.170
621.743	19553.787
621.871	19505.234
621.999	19570.255
622.127	19522.234
622.255	19579.128
622.383	19565.277
622.512	19599.426
622.640	19755.872
622.768	19628.957
622.896	19635.681
623.024	19634.702
623.152	19750.362
623.280	19732.064
623.408	19662.319
623.537	19697.617
623.665	19733.553
623.793	19824.809
623.921	19743.894
624.049	19821.064
624.177	19843.787
624.305	19868.000
624.433	19885.957
624.562	19958.511
624.690	19979.979
624.818	20018.936
624.946	20183.915
625.074	20083.638
625.202	20081.766
625.330	20028.787
625.458	20115.213
625.587	20155.021
625.715	20161.702
625.843	20311.447
625.971	20267.128
626.099	20225.553
626.227	20308.702
626.355	20284.766
626.483	20416.681
626.612	20368.809
626.740	20453.319
626.868	20539.787
626.996	20506.085
627.124	20470.340
627.252	20529.936
627.380	20619.660
627.508	20669.383
627.637	20641.638
627.765	20750.957
627.893	20847.000
628.021	20849.872
628.149	21129.000
628.277	21288.957
628.405	21263.553
628.533	21067.702
628.662	21078.809
628.790	21196.511
628.918	21235.362
629.046	21187.447
629.174	21406.872
629.302	21726.830
629.430	21517.426
629.558	21442.319
629.687	21496.000
629.815	21636.787
629.943	21619.064
630.071	21710.596
630.199	21827.085
630.327	21810.362
630.455	21861.936
630.583	21936.936
630.712	22005.979
630.840	22026.085
630.968	22110.894
631.096	22088.809
631.224	22151.851
631.352	22222.021
631.480	22286.000
631.608	22356.085
631.737	22448.979
631.865	22564.426
631.993	22434.277
632.121	22634.596
632.249	22729.511
632.377	22597.234
632.505	22705.957
632.633	22576.936
632.762	22720.830
632.890	22748.340
633.018	22662.149
633.146	22826.830
633.274	22670.553
633.402	22748.319
633.530	22823.191
633.658	22959.383
633.787	22869.213
633.915	22904.362
634.043	22923.702
634.171	22927.468
634.299	22963.532
634.427	23008.532
634.555	23005.957
634.683	22973.894
634.812	22924.213
634.940	22965.511
635.068	23024.511
635.196	23019.915
635.324	23029.319
635.452	23075.191
635.580	22955.426
635.708	22996.383
635.837	23074.936
635.965	23033.766
636.093	23032.532
636.221	23012.255
636.349	23133.383
636.477	23017.043
636.605	23193.638
636.733	22996.681
636.862	23030.894
636.990	23059.319
637.118	23067.787
637.246	23106.894
637.374	23014.426
637.502	23119.872
637.630	23079.468
637.758	23057.745
637.887	23060.723
638.015	23145.766
638.143	23118.872
638.271	23081.255
638.399	23158.064
638.527	23148.383
638.655	23200.660
638.783	23346.660
638.912	23278.574
639.040	23256.574
639.168	23327.128
639.296	23316.830
639.424	23484.043
639.552	23331.851
639.680	23555.957
639.808	23487.404
639.937	23494.043
640.065	23522.872
640.193	23614.936
640.321	23576.128
640.449	23644.766
640.577	23760.702
640.705	23741.447
640.833	23824.128
640.962	23821.340
641.090	23868.979
641.218	23920.277
641.346	24048.383
641.474	24025.830
641.602	24172.447
641.730	24137.957
641.858	24246.851
641.987	24356.319
642.115	24281.298
642.243	24400.128
642.371	24480.426
642.499	24449.766
642.627	24640.809
642.755	24685.064
642.883	24685.362
643.012	24778.404
643.140	24799.681
643.268	24897.617
643.396	24953.915
643.524	25097.170
643.652	25108.319
643.780	25059.766
643.908	25215.000
644.037	25281.085
644.165	25260.426
644.293	25295.596
644.421	25308.553
644.549	25381.702
644.677	25432.532
644.805	25485.809
644.933	25438.894
645.062	25560.830
645.190	25547.723
645.318	25648.596
645.446	25646.362
645.574	25779.830
645.702	25780.426
645.830	25955.894
645.958	25752.574
646.087	26018.447
646.215	25847.255
646.343	26090.681
646.471	25979.702
646.599	26092.617
646.727	26004.043
646.855	25993.255
646.983	26099.106
647.112	26089.532
647.240	26258.383
647.368	26115.340
647.496	26158.128
647.624	26128.277
647.752	26129.043
647.880	26218.000
648.008	26173.340
648.137	26162.149
648.265	26204.319
648.393	26203.979
648.521	26230.489
648.649	26277.447
648.777	26352.596
648.905	26233.362
649.033	26240.745
649.162	26255.426
649.290	26372.979
649.418	26294.936
649.546	26320.787
649.674	26381.213
649.802	26366.723
649.930	26533.362
650.058	26354.447
650.187	26377.255
650.315	26439.234
650.443	26454.766
650.571	26459.745
650.699	26481.532
650.827	26528.319
650.955	26524.553
651.083	26571.638
651.212	26557.468
651.340	26602.191
651.468	26587.532
651.596	26597.830
651.724	26623.383
651.852	26686.298
651.980	26619.894
652.108	26719.043
652.237	26691.043
652.365	26784.766
652.493	26725.553
652.621	26727.745
652.749	26833.106
652.877	26754.319
653.005	26823.234
653.133	26808.830
653.262	26896.383
653.390	26864.532
653.518	26941.021
653.646	26947.234
653.774	27169.532
653.902	26892.021
654.030	27011.872
654.158	27026.957
654.287	27075.936
654.415	27078.957
654.543	27136.170
654.671	27040.574
654.799	27160.404
654.927	27136.191
655.055	27117.553
655.183	27157.298
655.312	27233.234
655.440	27291.489
655.568	27221.936
655.696	27298.383
655.824	27429.681
655.952	27357.851
656.080	27279.468
656.208	27409.894
656.337	27291.489
656.465	27433.574
656.593	27417.362
656.721	27366.638
656.849	27363.979
656.977	27403.234
657.105	27352.064
657.233	27431.936
657.362	27451.532
657.490	27392.936
657.618	27470.447
657.746	27552.000
657.874	27429.766
658.002	27462.830
658.130	27502.702
658.258	27474.000
658.387	27544.915
658.515	27496.043
658.643	27583.106
658.771	27545.191
658.899	27709.319
659.027	27584.064
659.155	27605.021
659.283	27710.702
659.412	27599.553
659.540	27699.362
659.668	27595.894
659.796	27689.979
659.924	27777.170
660.052	27749.128
660.180	27705.489
660.308	27787.362
660.437	27823.979
660.565	27811.660
660.693	27737.936
660.821	27875.340
660.949	27875.362
661.077	27887.872
661.205	27884.511
661.333	27930.915
661.462	28024.638
661.590	28009.872
661.718	28176.915
661.846	28096.723
661.974	28230.745
662.102	28043.574
662.230	28123.404
662.358	28088.681
662.487	28143.489
662.615	28173.191
662.743	28097.936
662.871	28260.298
662.999	28276.043
663.127	28289.404
663.255	28367.809
663.383	28421.447
663.512	28363.170
663.640	28535.106
663.768	28559.277
663.896	28615.660
664.024	28631.277
664.152	28597.702
664.280	28753.447
664.408	28731.872
664.537	28857.830
664.665	28774.574
664.793	28720.298
664.921	28795.043
665.049	28906.936
665.177	28924.723
665.305	28986.979
665.433	28925.362
665.562	28942.085
665.690	29095.191
665.818	29186.340
665.946	29105.277
666.074	29112.277
666.202	29181.000
666.330	29257.681
666.458	29220.064
666.587	29287.681
666.715	29275.532
666.843	29387.128
