90pol_90_110_at_750.00nm_cut_at_984.50Y_01.dat
24.04.2023
10:41:44
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	17352.489
586.124	16819.191
586.252	16675.085
586.380	16724.766
586.508	16781.000
586.637	16865.468
586.765	16842.404
586.893	16905.426
587.021	16951.936
587.149	17042.532
587.277	16968.000
587.405	17099.894
587.533	17023.255
587.662	17153.766
587.790	17142.553
587.918	17105.787
588.046	17121.255
588.174	17077.043
588.302	17199.979
588.430	17062.787
588.558	17076.043
588.687	17098.787
588.815	17056.447
588.943	17080.213
589.071	17052.979
589.199	17146.957
589.327	17148.617
589.455	17010.638
589.583	17154.872
589.712	17182.979
589.840	17055.596
589.968	17092.362
590.096	17119.170
590.224	17103.255
590.352	17121.170
590.480	17080.128
590.608	17146.447
590.737	17172.234
590.865	17176.468
590.993	17112.064
591.121	17143.404
591.249	17125.106
591.377	17151.702
591.505	17186.851
591.633	17130.362
591.762	17165.596
591.890	17299.191
592.018	17197.447
592.146	17166.447
592.274	17154.574
592.402	17205.511
592.530	17228.723
592.658	17470.596
592.787	17290.553
592.915	17393.149
593.043	17366.000
593.171	17353.936
593.299	17432.979
593.427	17487.213
593.555	17518.447
593.683	17532.447
593.812	17643.298
593.940	17572.617
594.068	17624.511
594.196	17764.319
594.324	17796.787
594.452	17752.383
594.580	17822.085
594.708	17824.574
594.837	17851.085
594.965	17986.000
595.093	18053.468
595.221	18036.979
595.349	18219.957
595.477	18157.745
595.605	18160.362
595.733	18157.532
595.862	18440.979
595.990	18245.000
596.118	18332.064
596.246	18505.745
596.374	18444.617
596.502	18406.191
596.630	18384.000
596.758	18447.681
596.887	18446.872
597.015	18538.936
597.143	18546.021
597.271	18560.106
597.399	18533.660
597.527	18555.149
597.655	18586.574
597.783	18537.553
597.912	18532.149
598.040	18574.085
598.168	18641.702
598.296	18588.255
598.424	18538.979
598.552	18581.574
598.680	18538.936
598.808	18601.383
598.937	18524.085
599.065	18439.319
599.193	18546.362
599.321	18634.064
599.449	18406.915
599.577	18422.596
599.705	18513.638
599.833	18427.191
599.962	18469.766
600.090	18484.362
600.218	18515.596
600.346	18554.745
600.474	18501.277
600.602	18499.191
600.730	18570.064
600.858	18662.681
600.987	18801.298
601.115	18681.000
601.243	18748.617
601.371	18807.957
601.499	18857.340
601.627	18886.383
601.755	18927.809
601.883	19032.404
602.012	19117.426
602.140	19056.085
602.268	19236.681
602.396	19222.404
602.524	19415.745
602.652	19387.447
602.780	19446.532
602.908	19552.340
603.037	19605.723
603.165	19652.574
603.293	19707.426
603.421	19837.000
603.549	19934.489
603.677	20034.702
603.805	20037.213
603.933	20166.319
604.062	20260.000
604.190	20287.362
604.318	20372.766
604.446	20491.340
604.574	20550.085
604.702	20643.128
604.830	20708.638
604.958	20748.574
605.087	20873.511
605.215	20948.447
605.343	20986.468
605.471	21117.149
605.599	21185.106
605.727	21177.298
605.855	21251.830
605.983	21251.191
606.112	21336.106
606.240	21393.298
606.368	21417.426
606.496	21633.851
606.624	21523.830
606.752	21527.170
606.880	21707.936
607.008	21761.979
607.137	21720.298
607.265	21527.638
607.393	21571.681
607.521	21722.936
607.649	21599.128
607.777	21647.766
607.905	21650.298
608.033	21584.830
608.162	21581.745
608.290	21644.362
608.418	21516.830
608.546	21642.213
608.674	21504.383
608.802	21509.723
608.930	21535.170
609.058	21583.404
609.187	21666.638
609.315	21553.702
609.443	21591.085
609.571	21599.574
609.699	21600.404
609.827	21608.617
609.955	21535.383
610.083	21578.213
610.212	21604.702
610.340	21540.085
610.468	21649.319
610.596	21596.617
610.724	21696.702
610.852	21603.872
610.980	21587.170
611.108	21752.340
611.237	21628.915
611.365	21739.255
611.493	21664.426
611.621	21803.213
611.749	21803.809
611.877	21921.809
612.005	21872.915
612.133	22054.660
612.262	22002.872
612.390	22042.255
612.518	22074.766
612.646	22233.340
612.774	22197.447
612.902	22309.128
613.030	22453.191
613.158	22635.426
613.287	22600.511
613.415	22584.596
613.543	22539.915
613.671	22490.319
613.799	22723.915
613.927	22615.298
614.055	22691.660
614.183	22812.468
614.312	22726.511
614.440	22944.021
614.568	22883.681
614.696	22984.128
614.824	23148.319
614.952	23080.404
615.080	23187.809
615.208	23295.021
615.337	23320.340
615.465	23412.766
615.593	23622.128
615.721	23684.617
615.849	23838.064
615.977	23856.000
616.105	23838.468
616.233	23809.064
616.362	23864.255
616.490	23961.404
616.618	24036.532
616.746	24023.277
616.874	24033.234
617.002	24074.383
617.130	24136.723
617.258	24311.319
617.387	24183.574
617.515	24190.957
617.643	24218.319
617.771	24267.872
617.899	24281.532
618.027	24295.553
618.155	24413.340
618.283	24360.553
618.412	24418.596
618.540	24479.766
618.668	24455.617
618.796	24529.617
618.924	24726.149
619.052	24595.362
619.180	24617.872
619.308	24729.532
619.437	24676.064
619.565	24643.298
619.693	24611.106
619.821	24723.511
619.949	24779.745
620.077	24791.809
620.205	24781.340
620.333	24853.362
620.462	24835.404
620.590	24811.234
620.718	24748.426
620.846	24846.213
620.974	24874.021
621.102	24897.872
621.230	24852.234
621.358	24961.553
621.487	24870.851
621.615	24948.383
621.743	25043.426
621.871	24957.043
621.999	25048.170
622.127	24981.319
622.255	24957.830
622.383	24952.511
622.512	24924.936
622.640	25099.638
622.768	25004.681
622.896	25050.064
623.024	25024.489
623.152	25101.149
623.280	25009.702
623.408	24960.043
623.537	25040.468
623.665	25059.894
623.793	25059.660
623.921	24930.277
624.049	24948.638
624.177	24974.596
624.305	25004.191
624.433	25005.979
624.562	25024.043
624.690	24987.319
624.818	24995.404
624.946	25133.894
625.074	25016.532
625.202	25014.872
625.330	25012.681
625.458	25096.021
625.587	24995.085
625.715	25002.936
625.843	25166.426
625.971	25097.191
626.099	25034.489
626.227	25049.851
626.355	25036.979
626.483	25076.723
626.612	25023.340
626.740	25103.745
626.868	25189.617
626.996	25216.638
627.124	25144.191
627.252	25182.511
627.380	25311.170
627.508	25256.128
627.637	25239.723
627.765	25218.255
627.893	25283.553
628.021	25365.000
628.149	25612.745
628.277	25701.979
628.405	25696.043
628.533	25489.085
628.662	25536.553
628.790	25547.021
628.918	25575.894
629.046	25599.702
629.174	25801.915
629.302	26092.340
629.430	25928.872
629.558	25852.979
629.687	25939.000
629.815	25944.043
629.943	26041.681
630.071	26056.085
630.199	26134.979
630.327	26148.723
630.455	26265.064
630.583	26296.340
630.712	26307.319
630.840	26368.511
630.968	26375.511
631.096	26371.149
631.224	26442.426
631.352	26432.298
631.480	26476.745
631.608	26565.106
631.737	26695.723
631.865	26715.064
631.993	26648.809
632.121	26727.638
632.249	26745.511
632.377	26648.255
632.505	26737.681
632.633	26602.851
632.762	26678.340
632.890	26753.277
633.018	26660.681
633.146	26828.745
633.274	26686.915
633.402	26703.957
633.530	26640.149
633.658	26827.170
633.787	26618.000
633.915	26671.723
634.043	26674.255
634.171	26644.851
634.299	26706.149
634.427	26606.064
634.555	26662.426
634.683	26624.170
634.812	26561.745
634.940	26616.191
635.068	26493.681
635.196	26438.021
635.324	26420.021
635.452	26447.234
635.580	26441.213
635.708	26391.064
635.837	26449.383
635.965	26344.681
636.093	26267.426
636.221	26267.213
636.349	26310.936
636.477	26251.362
636.605	26356.596
636.733	26112.021
636.862	26118.766
636.990	26073.106
637.118	26113.894
637.246	26085.851
637.374	26106.894
637.502	26062.064
637.630	26066.277
637.758	26008.851
637.887	25993.596
638.015	25895.298
638.143	25950.021
638.271	25876.255
638.399	25851.617
638.527	25905.149
638.655	25873.340
638.783	25956.617
638.912	25882.213
639.040	25862.255
639.168	25901.787
639.296	25780.596
639.424	25998.319
639.552	25846.383
639.680	25950.702
639.808	25889.745
639.937	25797.298
640.065	25791.745
640.193	25898.064
640.321	25782.468
640.449	25904.617
640.577	25891.468
640.705	25868.277
640.833	25910.745
640.962	25809.213
641.090	25802.468
641.218	25850.553
641.346	25905.255
641.474	25927.936
641.602	25913.106
641.730	25953.191
641.858	25984.489
641.987	26021.851
642.115	26034.447
642.243	26088.085
642.371	26104.468
642.499	26092.745
642.627	26095.511
642.755	26201.021
642.883	26261.319
643.012	26169.170
643.140	26225.489
643.268	26266.936
643.396	26309.128
643.524	26364.021
643.652	26287.532
643.780	26213.447
643.908	26370.830
644.037	26430.936
644.165	26358.404
644.293	26402.723
644.421	26439.383
644.549	26370.766
644.677	26419.830
644.805	26446.766
644.933	26331.957
645.062	26452.979
645.190	26411.723
645.318	26530.383
645.446	26416.511
645.574	26462.085
645.702	26460.809
645.830	26662.277
645.958	26421.936
646.087	26558.191
646.215	26336.085
646.343	26648.957
646.471	26392.064
646.599	26455.809
646.727	26381.213
646.855	26364.000
646.983	26455.745
647.112	26409.383
647.240	26489.234
647.368	26358.064
647.496	26334.489
647.624	26319.617
647.752	26253.106
647.880	26230.468
648.008	26174.915
648.137	26265.426
648.265	26279.362
648.393	26143.702
648.521	26236.596
648.649	26204.085
648.777	26184.213
648.905	26124.234
649.033	26063.234
649.162	25993.660
649.290	26030.447
649.418	25975.809
649.546	25988.511
649.674	25972.149
649.802	25845.489
649.930	25972.426
650.058	25826.936
650.187	25840.894
650.315	25777.979
650.443	25784.043
650.571	25683.234
650.699	25701.489
650.827	25685.596
650.955	25694.149
651.083	25691.702
651.212	25671.851
651.340	25585.468
651.468	25559.277
651.596	25498.660
651.724	25544.447
651.852	25549.362
651.980	25458.085
652.108	25473.532
652.237	25499.553
652.365	25462.660
652.493	25366.894
652.621	25382.851
652.749	25389.915
652.877	25316.638
653.005	25248.894
653.133	25209.872
653.262	25330.489
653.390	25220.468
653.518	25289.255
653.646	25289.745
653.774	25312.532
653.902	25123.809
654.030	25160.617
654.158	25131.447
654.287	25116.043
654.415	25060.830
654.543	25082.489
654.671	25030.915
654.799	25094.362
654.927	24987.851
655.055	24947.149
655.183	24974.255
655.312	24948.404
655.440	24926.979
655.568	24817.745
655.696	24878.766
655.824	24956.383
655.952	24785.638
656.080	24699.574
656.208	24841.851
656.337	24643.489
656.465	24745.000
656.593	24665.213
656.721	24531.298
656.849	24623.021
656.977	24441.809
657.105	24446.234
657.233	24389.787
657.362	24360.277
657.490	24297.979
657.618	24264.128
657.746	24192.383
657.874	24218.340
658.002	24092.574
658.130	24130.383
658.258	24017.638
658.387	24019.085
658.515	23954.277
658.643	23980.404
658.771	23912.511
658.899	23926.043
659.027	23837.085
659.155	23829.277
659.283	23914.894
659.412	23756.617
659.540	23714.872
659.668	23619.170
659.796	23638.234
659.924	23576.234
660.052	23544.872
660.180	23439.149
660.308	23381.362
660.437	23473.319
660.565	23411.723
660.693	23344.617
660.821	23296.660
660.949	23271.574
661.077	23270.830
661.205	23292.383
661.333	23173.638
661.462	23257.319
661.590	23105.702
661.718	23252.553
661.846	23153.489
661.974	23229.213
662.102	23071.574
662.230	23118.809
662.358	23006.830
662.487	23047.979
662.615	22953.894
662.743	22968.660
662.871	22890.532
662.999	22872.106
663.127	22864.277
663.255	22934.723
663.383	22876.723
663.512	22842.340
663.640	22871.255
663.768	22854.404
663.896	22888.085
664.024	22918.340
664.152	22888.404
664.280	22969.702
664.408	22908.745
664.537	22894.660
664.665	22909.617
664.793	22802.830
664.921	22806.638
665.049	22861.723
665.177	22821.213
665.305	22929.766
665.433	22826.702
665.562	22746.170
665.690	22826.340
665.818	22997.979
665.946	22813.681
666.074	22758.468
666.202	22821.830
666.330	22847.979
666.458	22824.638
666.587	22742.979
666.715	22847.213
666.843	22863.106
666.971	22728.787
667.099	22725.404
667.227	22712.723
667.355	22705.809
667.483	22662.426
667.612	22701.447
667.740	22694.298
667.868	22734.085
667.996	22702.404
668.124	22639.043
668.252	22650.617
668.380	22612.979
668.508	22557.404
668.637	22567.957
668.765	22523.681
668.893	22557.319
669.021	22477.553
669.149	22448.000
669.277	22484.170
669.405	22340.170
669.533	22440.532
669.662	22570.957
669.790	22394.872
669.918	22315.340
670.046	22231.489
670.174	22301.043
670.302	22192.979
670.430	22122.000
670.558	22092.532
670.687	22045.340
670.815	22107.489
670.943	21928.702
671.071	21864.426
671.199	21843.702
671.327	21763.979
671.455	21756.447
671.583	21684.787
671.712	21812.574
671.840	21698.085
671.968	21538.170
672.096	21539.979
672.224	21513.915
672.352	21545.191
672.480	21333.383
672.608	21321.319
672.737	21185.021
672.865	21364.745
672.993	21106.106
673.121	21037.638
673.249	20916.106
673.377	20883.170
673.505	20878.128
673.633	20780.085
673.762	20735.723
673.890	20635.553
674.018	20878.043
674.146	20571.191
674.274	20503.787
674.402	20683.426
674.530	20458.809
674.658	20289.957
674.787	20240.319
674.915	20202.787
675.043	20299.872
675.171	20135.511
675.299	20055.043
675.427	20021.213
675.555	19919.702
675.683	19883.213
675.812	19764.319
675.940	19847.745
676.068	19734.596
676.196	19723.511
676.324	19608.234
676.452	19577.468
676.580	19479.362
676.708	19412.362
676.837	19436.681
676.965	19337.511
677.093	19298.532
677.221	19238.511
677.349	19162.532
677.477	19201.362
677.605	19057.319
677.733	19075.298
677.862	18884.383
677.990	18871.489
678.118	18858.915
678.246	18804.596
678.374	18701.383
678.502	18612.894
678.630	18640.957
678.758	18636.617
678.887	18508.702
679.015	18485.596
679.143	18458.000
679.271	18410.404
679.399	18418.468
679.527	18311.064
679.655	18262.532
679.783	18296.234
679.912	18282.745
680.040	18159.213
680.168	18110.957
680.296	18133.660
680.424	17999.468
680.552	18057.213
680.680	18029.298
680.808	17999.766
680.937	17830.234
681.065	17845.872
681.193	17811.170
681.321	17866.596
681.449	17782.383
681.577	17774.723
681.705	17665.191
681.833	17672.681
681.962	17591.787
682.090	17805.021
682.218	17635.851
682.346	17642.957
682.474	17597.766
682.602	17563.723
682.730	17549.191
682.858	17482.426
682.987	17515.745
683.115	17548.979
683.243	17425.851
683.371	17412.170
683.499	17447.511
683.627	17393.660
683.755	17409.596
683.883	17418.745
684.012	17308.660
684.140	17255.149
684.268	17222.064
684.396	17218.936
684.524	17290.617
684.652	17267.617
684.780	17213.043
684.908	17229.426
685.037	17065.553
685.165	17025.128
685.293	17006.660
685.421	17150.000
685.549	17025.234
685.677	16976.043
685.805	17070.745
685.933	17039.319
686.062	16920.021
686.190	16867.851
686.318	16841.723
686.446	16798.660
686.574	16773.043
686.702	16840.149
686.830	16789.234
686.958	16647.745
687.087	16654.872
687.215	16692.447
687.343	16534.723
687.471	16530.638
687.599	16442.489
687.727	16664.596
687.855	16476.043
687.983	16561.638
688.112	16510.000
688.240	16413.383
688.368	16353.085
688.496	16293.532
688.624	16332.553
688.752	16200.277
688.880	16244.468
689.008	16189.851
689.137	16139.170
689.265	16090.319
689.393	16038.404
689.521	15997.787
689.649	15972.085
689.777	15941.064
689.905	15841.128
690.033	15816.681
690.162	15809.043
690.290	15723.766
690.418	15684.319
690.546	15746.277
690.674	15696.617
690.802	15565.766
690.930	15535.404
691.058	15519.489
691.187	15432.021
691.315	15362.638
691.443	15434.234
691.571	15323.979
691.699	15290.043
691.827	15312.532
691.955	15163.574
692.083	15136.745
692.212	15253.191
692.340	15104.170
692.468	15073.319
692.596	15037.851
692.724	15083.298
692.852	14868.745
692.980	14921.340
693.108	14837.872
693.237	14808.170
693.365	14725.702
693.493	14607.894
693.621	14647.787
693.749	14546.830
693.877	14533.404
694.005	14585.468
694.133	14524.340
694.262	14464.298
694.390	14353.404
694.518	14388.723
694.646	14336.404
694.774	14283.234
694.902	14333.149
695.030	14253.085
695.158	14112.574
695.287	14145.170
695.415	14056.319
695.543	14034.170
695.671	14121.404
695.799	13991.043
695.927	13921.872
696.055	13870.043
696.183	13842.511
696.312	13812.404
696.440	13932.255
696.568	13778.170
696.696	13780.660
696.824	13627.532
696.952	13611.064
697.080	13607.702
697.208	13477.702
697.337	13528.511
697.465	13460.851
697.593	13367.426
