Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
140;7.009329;7.758456;6.532369;7.120942;6.895909;6.245916;7.149787;6.923464;7.318151;6.607552
150;7.644020;7.695628;6.276900;7.119011;7.182849;6.366005;6.633493;7.165634;6.390399;6.268557
160;7.075591;7.223790;6.643231;7.699782;5.453872;6.665806;7.196068;5.818135;6.866305;6.982956
170;6.976965;7.492785;7.434480;7.931416;7.686701;6.894993;6.384090;5.813457;7.384907;6.647320
180;7.325329;7.427324;7.090752;6.731813;6.561590;6.205795;5.355987;7.917075;7.091589;6.644227
190;7.814511;7.086744;7.528351;6.209035;7.306766;6.423122;6.077867;6.358371;6.338171;6.620694
200;7.323793;5.812104;6.100965;7.457096;6.306852;6.586032;6.553198;7.100764;6.486883;6.428931
210;7.110369;6.897627;6.916401;6.956178;6.031870;7.032250;7.403946;5.522449;7.234232;6.578968
220;6.681409;6.967822;7.117180;5.377704;6.330742;6.789925;6.852153;5.941440;5.507125;5.849780
230;7.059761;6.215202;6.156566;6.757438;7.426614;6.663213;5.618420;5.951798;5.596242;5.830690
240;6.065220;6.394045;7.466118;6.304461;5.776020;6.225366;6.638474;6.059845;6.558042;6.809904
250;6.738314;5.632482;6.458015;6.052944;6.323159;6.557981;6.379669;5.413431;5.378333;5.245953
260;6.738616;5.382166;7.203033;5.618647;6.513047;6.144101;6.288214;6.131604;6.192480;5.855060
270;6.081955;6.494490;5.794385;5.046209;6.380949;6.624244;5.470463;5.247330;6.397675;6.021945
280;6.888413;5.655439;6.169012;6.271828;6.654239;6.216143;6.016991;5.706038;7.274036;5.752248
290;6.388224;6.426964;5.482362;6.757799;5.753362;5.659554;5.540747;5.747246;6.105449;5.664967
300;6.042772;6.729000;6.361275;5.889561;6.634457;5.867445;5.876012;6.356106;6.359234;5.368128
310;6.197342;4.951125;7.444689;6.632427;5.664585;6.186528;5.658273;5.308634;6.577565;5.798239
320;4.800049;6.300314;4.933832;6.198143;5.625487;4.900164;5.446321;5.384180;5.091437;5.200097
330;5.785381;6.022039;5.365469;5.770472;6.243542;4.683408;6.191830;5.328115;5.976355;5.565069
340;5.638417;5.734342;5.869358;5.683017;5.169709;5.628557;5.345303;5.722286;6.708984;5.102240
350;6.321581;6.509357;6.411776;5.984594;5.614296;6.089019;4.884404;4.799640;5.907617;5.445242
360;4.172788;5.116320;5.802990;5.140368;5.567182;5.826822;5.989396;5.563898;5.581736;6.376377
370;5.666946;5.917460;6.355976;5.114208;5.571608;5.900910;4.565754;4.866591;5.509595;5.822127
380;5.520567;5.740599;6.338747;4.526382;5.658524;5.644497;4.843136;4.364932;4.919819;5.547955
390;4.944974;5.340761;5.581883;5.168411;4.951236;5.790163;4.928912;5.641588;5.448615;4.982729
400;5.384468;5.360469;6.080079;6.526026;4.816593;4.705243;5.258121;6.003656;5.333448;6.149605
410;5.821246;6.510830;6.090497;5.315514;4.316694;5.305413;5.299266;5.263115;5.179339;4.363774
420;5.024538;4.763439;5.288718;5.578363;5.848585;5.746854;6.105711;3.618414;4.905059;6.444764
