Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;-0.168168;-0.034467;-0.083645
-190;0.637246;-0.532390;0.467779
-180;-0.359808;-1.116017;-0.823975
-170;-0.034484;-0.477932;-0.578526
-160;0.087517;-0.068407;-0.086824
-150;-0.628801;-0.789345;0.299012
-140;0.087193;-0.633700;-0.036264
-130;-0.481679;-0.077379;0.745291
-120;0.245217;-0.315771;0.041686
-110;0.547625;0.644888;0.349377
-100;-0.067936;0.680111;0.733147
-90;-0.678229;0.077748;0.587569
-80;-0.347899;0.059867;0.085789
-70;0.108634;0.026833;1.087902
-60;0.031609;0.075912;-0.128703
-50;0.063253;0.474678;0.512889
-40;-0.486535;-0.025948;0.619928
-30;0.362479;0.095674;0.476751
-20;1.097751;0.314256;-0.713074
-10;0.705042;1.759322;2.230078
0;4.546755;3.810115;4.221944
10;6.913636;6.962110;6.173991
20;9.820501;9.437958;9.565790
30;11.802682;12.137965;11.285803
40;14.062100;14.418530;13.304659
50;16.090619;16.095137;16.246513
60;17.808502;18.760968;18.565567
70;19.965746;20.274452;19.151848
80;18.849996;19.685839;18.811510
90;18.741109;19.230979;18.518206
100;17.994911;18.948816;18.392866
110;19.217120;19.512870;18.114593
120;18.311022;18.601209;17.921590
130;18.527933;18.763530;18.586106
140;17.943502;19.328443;17.093107
150;18.631359;17.543254;18.128761
160;17.612710;18.883341;17.775221
170;18.068901;17.366353;17.633138
180;16.718456;17.613812;16.865302
190;16.832592;17.195478;16.451570
200;17.155968;16.851180;16.394243
210;16.317868;16.229750;16.315502
220;17.161719;16.811450;16.681121
230;16.134245;16.379627;16.924347
240;16.593701;16.451804;16.094295
250;15.350972;16.483854;15.164832
260;15.974950;16.139141;15.024257
270;16.033446;15.125150;15.615014
280;15.820159;15.174637;14.916833
290;15.750698;15.627180;15.056413
300;15.217024;14.377940;14.710486
310;15.274536;14.576691;14.699597
320;15.114889;14.486590;14.354047
330;14.527468;14.957386;14.719495
340;14.164816;15.070389;15.183835
350;14.679594;14.205251;13.816951
360;14.241089;14.582996;14.453767
370;14.775288;14.492490;13.638795
380;13.685775;13.678263;13.581095
390;14.240701;14.338263;13.167875
400;13.432185;12.769730;13.308353
410;13.351879;13.900139;12.876866
420;12.955363;13.498327;12.534885
430;13.272848;13.515913;13.270096
440;13.552329;13.392547;13.243223
450;12.537615;13.149462;12.680798
460;12.830992;13.117955;13.469498
470;12.442695;13.283411;13.334924
480;12.509093;11.766415;12.474947
490;13.160584;12.383313;11.771319
500;12.568537;12.798609;11.832120
