Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;0.163360;-0.579118;-0.385414
-190;0.644427;0.498159;-0.226530
-180;-0.549142;-0.286797;-0.237509
-170;-0.345336;-0.519452;-0.341734
-160;0.463468;0.792321;-0.180710
-150;-0.768838;-0.618111;0.365325
-140;-0.171927;0.141429;0.165579
-130;0.672011;-0.655734;-0.529889
-120;0.205988;0.618598;-0.277188
-110;-0.285135;-0.166161;-0.559194
-100;0.185965;0.256696;-0.370382
-90;-0.730480;-0.066049;0.281423
-80;0.286894;-0.183176;-0.619944
-70;0.139094;0.386847;0.758065
-60;-0.356926;-0.016615;-0.055919
-50;-0.598615;0.517225;0.133978
-40;-0.488500;-0.177047;0.122196
-30;0.278205;0.031475;-0.515868
-20;-0.326221;-0.432394;0.159715
-10;1.919346;1.625578;0.405080
0;4.301188;4.481670;4.954582
10;7.275435;7.068908;6.149387
20;10.577170;8.788435;8.694211
30;11.247167;11.959390;11.563880
40;14.267080;14.424443;14.317811
50;16.498601;17.075976;16.859559
60;18.938545;18.999577;18.913557
70;20.795426;21.475969;21.862824
80;24.161041;24.049001;23.301062
90;26.105700;25.898176;25.820525
100;26.734164;27.566104;27.073670
110;26.859133;26.673099;26.814748
120;25.744333;26.999061;26.422763
130;26.100199;26.095099;25.126731
140;25.531720;25.447817;25.656379
150;25.137419;25.440344;26.171179
160;24.815047;26.249866;24.936215
170;25.318890;24.766809;24.532128
180;24.886503;24.769627;25.608338
190;24.733184;25.325240;25.196722
200;24.594376;24.030877;24.469873
210;24.076904;23.913917;24.060542
220;24.107785;24.514760;23.803476
230;23.400926;23.574606;23.158286
240;22.939155;24.698999;23.956249
250;23.749383;22.759675;22.491817
260;22.033483;22.105640;22.538357
270;21.593178;22.235971;22.304433
280;22.624902;22.134083;21.928073
290;22.100702;21.870551;21.072336
300;21.781116;22.369130;21.228416
310;20.516710;21.804330;21.967724
320;21.765165;20.885384;21.500770
330;21.257464;21.532547;20.990824
340;21.542629;20.995276;20.686758
350;20.378816;20.266601;20.388581
360;20.075237;19.712195;20.033467
370;19.933481;20.166846;20.676551
380;19.603592;20.162196;19.871471
390;19.778057;19.816055;19.981407
400;19.200351;18.937207;19.997392
410;19.046245;19.325711;18.995821
420;18.971292;19.599683;18.926951
430;19.191857;18.330055;19.491284
440;18.760037;18.654791;17.956691
450;18.754138;18.690817;18.615774
460;17.986466;18.296429;18.577416
470;17.957274;18.117119;18.310904
480;18.272309;18.019051;17.779134
490;17.919827;18.272896;17.278670
500;18.123882;16.993008;16.866540
