Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;2.442478;-1.935807;0.692496;-1.267737;-0.075315;-0.316027;3.639004;0.482397;2.658670;3.046591
-390;0.043432;1.026323;2.514310;0.620849;-0.801405;-0.401800;1.074959;3.479113;1.058030;0.937009
-380;-2.960134;2.769257;1.914869;0.698286;-2.983843;2.303102;0.812482;3.122824;2.230648;3.055385
-370;1.289787;2.372774;0.402134;-3.165546;-1.739690;0.283774;-3.446143;2.003426;-1.560195;1.117240
-360;-2.687912;0.548961;0.369291;-3.952390;2.302183;1.107609;-0.692456;2.336317;2.210034;2.379386
-350;1.376299;0.300170;0.947022;-2.306376;1.730881;-0.885405;-0.163204;0.890537;4.600282;-0.664551
-340;-2.613676;-2.266004;0.711203;0.173980;-0.619957;-0.101473;-1.850578;2.834865;1.534243;-0.362866
-330;0.363061;0.520742;1.908580;2.193717;2.278040;-1.804772;-0.507953;0.876057;-0.901781;5.127323
-320;-3.160757;-4.166150;1.455639;3.782699;0.182997;1.694435;-2.599001;0.831271;0.034719;-0.789454
-310;-0.947795;0.423288;-0.184552;2.924175;-0.680701;-1.113224;-1.160623;-0.089991;1.486318;-3.103353
-300;0.095349;-1.450508;-0.515614;2.126009;0.504660;-0.324626;0.604687;3.689487;-0.360833;-0.259979
-290;-0.271726;-2.195918;-1.978760;2.582528;-0.526472;-1.471859;-0.609211;-0.495535;-0.087017;-2.753029
-280;-4.581405;-0.577861;2.532587;1.830223;-0.189605;-1.343849;0.087608;-1.789494;-0.625854;-1.442414
-270;1.360220;-0.055863;-0.536186;-3.670047;-2.889708;-1.296233;1.497489;1.758346;0.275702;-2.186560
-260;-1.271025;1.007930;-1.667481;-3.290295;-0.872603;-2.070818;-1.880353;1.163477;-1.836965;-1.900353
-250;-1.348430;1.524805;-3.244068;-2.102421;2.902106;0.166406;0.539383;1.936120;-0.076719;-1.063937
-240;-2.228904;0.160745;-3.151775;0.414691;1.004691;-2.605773;-0.011335;-0.586512;-0.298721;-2.160803
-230;0.457145;-1.143112;-4.050236;-2.098559;-0.038213;0.257800;0.514570;-2.054313;1.092974;-2.355386
-220;0.082399;-1.316302;-0.790819;0.939193;1.813444;1.973529;1.517300;0.581002;-2.488473;-3.312466
-210;-1.755968;-0.949065;-1.110352;0.817006;2.355359;0.026625;4.142661;-2.085159;-0.925257;-1.324098
-200;0.168106;-3.515743;-0.565292;0.039939;0.909717;2.502906;2.101448;-1.439470;-2.113367;-0.922775
-190;-2.041830;-2.775107;-2.943616;4.666482;-2.980228;0.737477;-0.441260;-1.458537;-3.995376;-0.956894
-180;-1.026510;-0.372945;2.659336;-1.363308;-0.428082;0.770836;1.250649;0.135288;-3.736401;0.169278
-170;-2.035286;-0.352067;2.023451;1.208893;1.088629;-1.912242;2.181250;-2.130195;-3.907396;-0.785002
-160;0.847045;-0.979926;-0.574378;-1.895711;2.884586;-1.123280;0.919371;-3.377338;-1.248529;-1.830021
-150;-1.841609;-0.545218;1.730459;-1.844593;1.545933;-1.659521;0.490061;-1.381666;-0.580529;-0.917528
-140;2.991939;1.816757;3.242306;-1.240321;2.163282;-2.384205;1.051237;-4.168917;2.261256;-1.269192
-130;0.476567;-2.226799;2.096805;1.767424;-1.356958;-4.041390;2.440712;-1.424600;-1.620441;-0.623554
-120;0.382273;-0.601941;1.895282;-1.279908;-1.372561;-2.089957;-0.448360;-2.586420;-3.821363;2.306842
-110;2.832605;-2.217805;0.235934;2.266958;-1.925536;0.628682;-1.829158;0.249862;-2.402305;-0.939182
-100;0.445712;-0.847919;2.127626;1.341106;-2.781440;0.579327;0.713029;-1.854878;1.383401;2.495537
-90;2.811810;-1.324193;-1.597683;-0.397397;1.703411;-1.807240;-1.102876;-0.700135;-1.001388;0.491465
-80;2.889070;1.193659;-0.885732;-0.375721;1.300915;0.132759;-0.383331;-1.323480;0.253442;1.880665
-70;-1.027989;2.327374;-0.930961;-1.577629;2.328197;0.786472;-2.529264;-2.768393;-1.635990;4.105398
-60;0.564297;-0.685471;-2.464778;-4.134936;1.217992;0.463290;-1.383096;-1.424790;0.517638;-0.290097
-50;-0.026358;0.403572;1.155669;-1.092802;0.033318;0.539081;-0.434469;-0.149611;2.419504;0.605268
-40;3.919020;0.239457;-2.391458;-0.571583;-2.476646;2.061949;-1.164076;0.591100;-1.697101;0.072633
-30;-1.428860;0.400154;-4.043054;-0.537285;-3.782981;0.621455;-1.011075;-0.136037;0.742225;-1.400463
-20;3.299371;2.074724;-2.494854;-0.726215;-6.486484;-0.692235;0.682212;-1.082691;-1.089321;-1.030245
-10;-2.928246;-3.592039;-0.382958;-1.499737;4.111089;-1.460422;-1.010018;-3.733704;2.240426;-1.768198
0;-1.527712;-2.134302;-2.111254;-0.590545;-0.825430;-3.024921;-0.873911;-2.191958;-0.934879;0.117188
10;1.381928;-0.214858;-3.100808;1.764352;4.519183;-3.496355;-3.687035;-2.885765;-1.545047;-0.950781
20;-2.787424;-0.701290;-0.747847;-1.819997;0.280448;-4.686257;-1.229444;-2.278119;-1.992613;-1.896377
30;-5.026668;0.077052;-1.564856;-2.322912;-2.290677;-3.031380;-4.896542;-2.227485;-0.812171;-2.496931
40;-6.057753;-1.519275;-1.012142;-0.688821;-7.024025;-2.568799;-4.873821;-3.081926;-1.584035;-2.935989
50;-4.945577;-4.872701;-3.241629;-3.324958;-1.775517;-4.651873;-1.191743;-1.156714;-2.147397;-2.817077
60;-2.878785;-4.581500;-1.219023;-6.516188;-5.189062;-2.676203;-4.529347;-3.155659;-0.584258;-3.629842
70;-4.328807;-5.176619;-3.586004;-6.420075;-2.928766;-3.718167;-4.155404;-3.126031;-1.385897;-8.114560
80;-4.164503;-5.652978;-6.685330;-3.991601;-4.000481;-2.206463;-0.891610;-3.065123;-2.063439;-6.950390
90;-4.108979;-3.921239;-6.261462;-5.136842;-2.375602;-3.458159;-2.098839;-4.158395;-3.667319;-6.128336
100;-2.537267;-1.560569;-4.200449;-3.247256;-3.219573;-0.525483;-2.168446;-2.715459;-0.252923;-6.396674
110;-6.194737;-4.440634;-2.294707;0.244568;-5.764481;-4.020800;-0.166994;-4.204111;-2.735149;-8.395901
120;-4.890759;-3.026070;-2.667066;-3.959568;-6.896906;-1.738129;-1.400633;-2.861473;-4.939297;-4.450607
130;-4.237608;-4.466341;-3.631467;2.286866;-2.633554;-4.238379;-0.907946;-4.944464;-3.676152;-3.165427
140;-4.394695;-2.581308;-1.149504;-2.600084;-1.776104;-3.663857;-2.380385;-3.538752;-4.290700;-4.819181
150;-2.366461;-3.764567;-1.728615;-2.182707;-0.155403;-0.339233;0.281730;-2.792982;-3.537632;0.310156
160;-2.117278;-5.099704;-2.787751;-2.493618;-1.635505;-1.849009;-5.532423;-3.022955;-3.008653;-1.197086
170;-2.978950;-3.134051;-0.941782;-1.850281;-3.981576;-5.879618;-3.307279;-2.830380;-4.302558;-4.342223
180;-1.424936;-2.029186;-1.434354;-4.313788;-2.434827;-3.368097;-3.734866;-1.510849;-0.350611;-3.227617
190;-3.390829;-0.330041;-3.250474;-1.902475;-4.054414;0.074676;-1.428827;-1.460655;-1.948772;-2.765403
200;-1.652477;-0.813887;-2.726341;-2.320643;-6.641113;3.565850;1.549939;-3.688465;-2.321421;-1.041123
210;-4.859726;-1.128562;-4.531608;-0.096220;0.103081;2.353798;-3.877255;-4.212140;-4.174581;-3.217160
220;-2.223610;-2.419389;-3.802749;-1.843797;1.108379;-1.415108;-3.533249;-4.118797;-2.832280;1.569947
230;2.393053;-3.217473;-2.196862;-0.530536;1.828282;-1.210802;-3.342559;-5.267625;-2.785001;-2.475337
240;-3.111916;-4.369905;-4.070852;-2.742610;0.876840;1.110741;-3.862208;-2.247438;-2.652928;-1.222051
250;-0.117733;-4.380099;-1.998571;1.393256;-0.107589;-0.004394;-3.596724;-2.838465;-1.785165;0.504224
260;-0.064303;-1.582226;-1.501431;0.451145;-4.713085;-0.840315;-5.275108;-2.605022;-3.830755;-1.630834
270;-2.670749;3.273829;0.468080;-0.058320;-4.108949;-2.013258;-1.764026;-1.545840;-1.398654;-3.326337
280;-1.164059;-1.148132;-1.036878;-1.214218;1.505685;-5.791063;-2.903465;-2.124897;-3.702283;-0.239573
290;-1.005948;0.387656;-1.219201;-4.008509;-1.615322;-5.117669;-2.334155;-2.184015;-4.942654;-2.721618
300;-4.618729;-1.102932;2.217884;-6.633510;-3.908062;-5.771946;-2.356461;-0.499020;-2.601812;-2.137851
310;-1.201681;-0.067309;-0.999050;-2.450814;-7.354166;-1.937194;-1.398846;-0.972159;-1.294515;0.097818
320;-0.669662;0.317305;-0.504769;-4.168979;-4.392164;-1.781980;-2.507746;0.152690;-2.538217;-1.336195
330;-3.708759;-0.811878;2.060764;-2.811669;-1.601050;-1.417462;0.397767;-1.852826;-2.049645;-0.687489
340;-1.780607;-3.807108;-2.722977;-4.364374;-1.949587;0.025374;-0.515389;-0.440294;-2.709045;-3.409392
