Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
120;-6.287131;-6.419779;-6.452411;-6.342731;-6.373669;-6.430777;-6.296909;-6.402287;-6.411005;-6.297910
130;-5.935372;-5.860261;-5.983677;-6.151129;-5.961025;-5.934951;-5.908722;-5.937013;-5.735947;-5.838981
140;-5.465308;-5.407356;-5.517975;-5.485008;-5.522178;-5.512607;-5.656404;-5.502581;-5.526210;-5.471196
150;-5.165960;-5.089337;-5.210915;-5.068937;-5.036164;-5.032229;-4.969103;-5.057347;-4.981491;-4.944401
160;-4.684287;-4.835642;-4.728336;-4.716646;-4.834089;-4.709422;-4.746530;-4.724226;-4.720773;-4.592840
170;-4.467879;-4.395856;-4.282799;-4.330943;-4.562726;-4.318892;-4.367087;-4.134919;-4.310293;-4.508239
180;-4.056538;-4.066757;-4.193315;-4.085582;-4.145257;-4.110332;-4.143803;-4.170772;-4.063599;-4.185420
190;-3.897980;-3.820426;-3.852841;-3.908266;-3.729495;-3.782986;-3.678021;-3.805165;-3.805750;-3.776501
200;-3.313584;-3.601202;-3.670610;-3.259266;-3.623873;-3.412076;-3.728532;-3.603451;-3.517888;-3.844945
210;-3.252124;-3.575756;-3.369938;-3.261065;-3.510838;-3.201660;-3.357980;-3.286344;-3.479392;-3.373846
220;-3.050456;-3.194323;-3.025739;-3.083361;-3.004583;-3.105528;-3.058296;-3.183129;-3.114216;-3.212885
230;-2.794216;-2.825070;-2.867578;-2.820496;-2.900221;-2.797668;-2.983759;-2.988263;-2.918361;-2.754604
240;-2.742861;-2.767804;-2.697060;-2.657299;-2.696753;-2.687406;-2.622740;-2.805194;-2.778136;-2.832641
250;-2.563347;-2.537280;-2.568359;-2.716053;-2.528900;-2.711739;-2.500791;-2.572280;-2.463740;-2.561635
260;-2.220782;-2.252052;-2.397927;-2.411781;-2.687667;-2.438135;-2.273418;-2.428929;-2.470655;-2.365514
270;-2.317132;-2.187192;-2.214028;-2.284163;-1.997109;-2.297550;-2.137445;-2.148463;-2.088093;-2.215657
280;-2.205557;-2.204786;-1.936508;-1.974418;-1.886371;-2.066637;-2.127383;-2.232605;-2.093371;-2.149167
290;-1.885936;-2.155778;-1.846132;-1.893231;-2.217678;-1.777507;-2.037100;-1.885125;-1.955711;-2.056105
300;-1.856844;-1.924752;-1.859064;-1.994274;-1.813996;-1.780851;-1.765628;-1.832734;-1.846337;-1.871955
310;-1.672612;-1.649540;-1.546201;-1.622179;-1.823624;-1.911465;-1.686887;-1.663073;-1.538462;-1.584617
320;-1.691170;-1.618477;-1.641231;-1.545632;-1.449600;-1.628740;-1.576125;-1.598251;-1.589757;-1.589805
330;-1.414593;-1.419089;-1.573198;-1.455867;-1.430824;-1.389739;-1.439590;-1.506218;-1.264109;-1.590780
340;-1.520259;-1.355765;-1.321426;-1.389946;-1.306755;-1.440833;-1.293840;-1.294703;-1.385128;-1.382385
350;-1.242060;-1.284546;-1.329214;-1.265117;-1.161243;-1.163949;-1.296110;-1.181250;-1.210310;-1.319992
360;-1.229109;-1.057014;-1.305199;-1.171535;-1.152206;-1.093151;-1.165418;-1.357905;-1.205668;-0.795821
370;-1.042547;-1.064406;-1.147542;-0.982782;-1.198055;-1.048104;-1.118965;-1.075507;-1.174308;-1.081953
380;-0.910133;-1.005638;-1.083299;-0.979521;-1.056986;-0.977999;-1.117171;-1.089683;-1.104599;-1.135831
390;-0.984690;-1.046975;-0.977190;-1.032427;-0.938481;-0.932169;-0.908110;-1.021169;-1.038021;-0.957237
400;-0.998191;-0.886070;-0.927576;-0.767639;-0.895147;-0.790527;-0.987845;-1.039193;-0.996448;-0.947897
410;-0.752385;-0.744694;-0.807415;-0.833468;-0.949161;-0.836564;-0.813814;-0.972572;-0.845589;-0.803350
420;-0.665684;-0.771365;-0.818830;-0.708499;-0.828404;-0.874209;-0.970753;-0.761987;-0.873978;-0.748454
430;-0.791261;-0.684318;-0.881204;-0.801901;-0.821062;-0.698206;-0.739622;-0.764393;-0.531238;-0.774900
440;-0.730493;-0.523851;-0.906722;-0.964040;-0.599173;-0.712495;-0.575196;-0.459788;-0.814710;-0.781126
450;-0.642344;-0.728888;-0.637482;-0.612043;-0.674219;-0.626124;-0.595015;-0.638706;-0.538462;-0.540532
