Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD];TA11 [mOD];TA12 [mOD];TA13 [mOD];TA14 [mOD];TA15 [mOD];TA16 [mOD];TA17 [mOD];TA18 [mOD];TA19 [mOD];TA20 [mOD]
-400;-0.421578;-0.242372;-0.222578;-0.395768;-0.329918;0.104549;-0.025542;0.143713;-0.078288;0.064678;0.575066;-0.197598;-0.091994;0.146421;0.085550;-0.412053;-0.102411;-0.180276;-0.279288;-0.133975
-390;-0.134157;-0.550373;-0.028802;-0.038304;0.059934;-0.560556;0.298576;0.007187;0.255658;-0.457672;0.235159;-0.129608;-0.273641;-0.138500;0.007995;-0.167278;-0.326044;-0.126605;0.075207;0.313162
-380;0.138938;-0.499103;-0.053595;0.107702;-0.079916;-0.394724;-0.122912;0.005592;-0.183715;0.070327;0.056810;-0.226445;0.060023;0.232862;-0.319977;-0.204000;-0.150438;-0.569301;0.122405;-0.260891
-370;-0.108661;-0.235163;-0.321695;-0.255283;-0.361926;-0.369989;-0.111735;-0.024766;-0.030340;-0.164797;-0.199962;-0.107244;0.168897;-0.128020;-0.113555;-0.010402;-0.311811;-0.301927;-0.354468;-0.190303
-360;0.285227;0.016789;-0.311126;-0.365417;0.067912;-0.123819;-0.237934;0.034348;-0.174827;0.210384;-0.398952;0.095224;-0.576321;-0.545901;-0.171896;-0.075194;0.184711;-0.172953;-0.061584;-0.378282
-350;0.000799;-0.570750;-0.196848;-0.284920;-0.226925;-0.148684;-0.697447;0.427347;-0.073493;-0.081628;-0.039169;-0.301724;-0.078430;-0.069625;0.003199;-0.389603;0.171787;0.162573;-0.350512;-0.315531
-340;0.251793;-0.047154;-0.280757;-0.205948;0.206929;0.136714;0.261658;0.129384;-0.011169;0.130375;-0.182310;0.192064;-0.270429;-0.086421;-0.267047;0.055994;-0.344052;-0.068899;-0.060835;0.011241
-330;-0.257453;0.255000;0.140779;-0.274531;-0.380287;-0.045541;-0.209086;-0.249173;0.118985;-0.728235;-0.656306;-0.200874;-0.409621;-0.088849;-0.173497;-0.327294;0.366472;0.096138;0.152858;-0.081010
-320;-0.422389;0.321966;-0.479924;-0.386629;0.140689;-0.479992;-0.082937;0.225888;-0.109394;0.125485;-0.307081;-0.059192;-0.130455;-0.538077;-0.191044;-0.043998;-0.185199;0.320342;-0.199208;-0.174930
-310;-0.244074;0.187823;-0.384713;-0.357259;-0.148686;-0.111046;-0.156377;-0.351221;-0.083890;-0.084694;0.466937;0.210324;-0.082437;0.083295;-0.125575;-0.214441;-0.115428;0.050467;-0.536858;-0.427730
-300;0.118418;-0.032785;-0.683928;0.571962;-0.319136;-0.103076;0.051053;-0.533866;-0.004788;-0.048749;-0.389993;-0.328694;-0.567252;-0.600857;0.001599;-0.399210;-0.376554;-0.407628;-0.353544;0.231141
-290;-0.238388;0.240638;0.011195;-0.491188;0.081609;-0.060690;-0.110102;0.047069;-0.052684;-0.158352;-0.412504;-0.521252;-0.008004;-0.103456;-0.067155;0.143974;-0.019224;-0.062476;-0.005602;-0.637549
-280;-0.080819;-0.213446;-0.352688;-0.298699;-0.192001;0.087861;-0.446680;0.010376;-0.095804;-0.303255;-0.085491;-0.037567;0.292971;-1.022111;-0.318930;-0.080773;-0.054475;0.039235;-0.304822;-0.488312
-270;0.150446;0.000000;0.164782;-0.319453;-0.068769;0.351462;-0.527527;-0.284271;-0.448061;-0.117768;-0.391691;-0.058355;0.079246;-0.017645;-0.062370;-0.256793;0.151458;-0.154565;0.047204;-0.288501
-260;-0.399140;-0.349373;-0.020807;0.003196;0.090383;-0.357939;-0.184282;-0.516734;-0.155701;-0.254944;-0.523535;-0.371034;-0.076018;-0.021633;-0.043975;0.006400;-0.351609;-0.087287;-0.023207;-0.115730
-250;-0.003999;-0.567660;-0.247979;0.222875;0.148700;-0.214044;-0.241776;-0.041578;-0.137336;-0.301518;-0.026365;0.167827;0.004003;-0.302740;-0.063177;0.050384;-0.398132;-0.357156;-0.468884;-0.180912
